student_id,course_id,term,term_index,midterm_score,assignment_score,final_score,gpa,credits,age,gender,socio_economic_tier,distance_from_campus_km,internet_access,parent_education,lms_logins_per_week,video_watch_hours,forum_posts,quiz_attempts,avg_quiz_score,total_classes,classes_attended,attendance_rate,tardy_count,engagement_index,dropout_risk,is_anomaly
STU10000,DS201,Spring 2025,3,53.1,49.3,52.0,2.08,3,20,Male,Medium,15.6,High-Speed,Bachelors,23,22.5,4,8,66.8,45,37,82.8,2,84.76,Low,False
STU10001,SE501,Spring 2025,3,73.6,71.8,73.1,2.92,4,25,Female,High,0.2,High-Speed,High School,17,12.6,6,12,77.0,50,44,88.4,6,85.1,Low,False
STU10002,AI301,Fall 2024,2,80.0,70.8,77.2,3.09,3,24,Female,Low,2.0,Limited,High School,12,14.9,6,2,83.6,50,36,72.4,5,70.92,Low,False
STU10003,SE501,Fall 2024,2,63.1,61.5,62.6,2.5,4,25,Female,Low,10.1,High-Speed,Masters,12,18.9,4,11,76.8,40,23,56.9,2,61.81,Medium,False
STU10004,CS101,Spring 2024,1,47.3,45.2,46.7,1.86,3,25,Male,Medium,4.5,Moderate,High School,11,17.6,5,2,69.4,50,35,89.0,5,74.88,Low,False
STU10005,CS101,Fall 2025,4,44.1,44.9,44.3,1.77,3,20,Male,High,38.4,Moderate,Bachelors,6,18.8,3,13,67.8,45,26,58.6,2,51.86,Medium,False
STU10006,AI301,Fall 2023,0,43.5,49.8,45.4,1.82,4,23,Male,Medium,10.4,High-Speed,Bachelors,11,19.5,0,9,71.6,40,27,68.4,4,65.02,Medium,False
STU10007,AI301,Fall 2023,0,58.1,57.1,57.8,2.31,3,21,Female,Medium,29.8,Moderate,Bachelors,9,6.3,5,6,76.9,40,25,62.2,4,59.98,Medium,False
STU10008,SE501,Spring 2024,1,52.5,47.6,51.0,2.04,3,20,Female,Medium,2.1,High-Speed,High School,13,7.9,8,7,46.4,40,30,75.2,6,66.38,Medium,False
STU10009,SE501,Spring 2026,5,49.2,40.6,46.6,1.86,3,22,Female,High,19.0,Moderate,High School,11,20.9,3,5,77.2,50,30,59.4,5,61.64,Medium,False
STU10010,AI301,Fall 2023,0,53.6,56.4,54.4,2.18,3,20,Male,High,3.7,High-Speed,Bachelors,9,11.1,4,5,82.4,45,28,62.6,1,61.28,Low,False
STU10011,CS101,Spring 2024,1,52.4,53.5,52.7,2.11,4,22,Female,High,43.3,High-Speed,High School,20,11.6,4,11,69.2,45,45,99.8,5,93.74,Low,False
STU10012,DB401,Fall 2024,2,55.0,60.0,54.2,2.21,4,25,Female,Low,1.6,High-Speed,Doctorate,15,8.7,2,14,65.0,40,30,75.0,5,73.0,Medium,False
STU10013,DB401,Spring 2025,3,50.9,51.7,51.1,2.04,4,24,Male,Low,6.9,High-Speed,Masters,19,13.0,3,10,61.3,50,40,79.8,5,80.66,Low,False
STU10014,DS201,Fall 2024,2,35.4,39.6,36.7,1.47,3,20,Male,Medium,15.0,Moderate,Bachelors,11,13.3,2,9,48.4,45,24,53.9,4,53.13,High,True
STU10015,CS101,Fall 2023,0,75.3,76.9,75.8,3.03,3,22,Male,High,5.4,Limited,Masters,14,10.3,1,12,72.1,50,35,70.5,0,70.67,Medium,False
STU10016,CS101,Fall 2025,4,58.4,59.9,58.8,2.35,4,20,Male,Low,6.0,Moderate,High School,12,9.7,5,14,75.3,40,23,57.3,3,61.71,High,False
STU10017,CS101,Spring 2026,5,58.9,66.0,61.0,2.44,3,24,Female,Low,40.8,High-Speed,Bachelors,10,16.6,2,13,81.8,45,30,66.0,3,64.36,Low,False
STU10018,DS201,Fall 2023,0,67.4,67.7,67.5,2.7,4,25,Male,Medium,5.3,Limited,High School,13,11.0,4,5,100.0,45,29,64.0,4,71.5,Low,False
STU10019,AI301,Fall 2025,4,51.1,47.7,50.1,2.0,3,20,Male,Low,8.8,High-Speed,Bachelors,14,12.0,2,8,73.1,50,32,64.7,1,67.97,Medium,False
STU10020,SE501,Fall 2023,0,72.2,78.7,74.1,2.96,3,19,Female,Medium,0.5,High-Speed,Bachelors,15,4.1,4,9,84.7,50,38,76.3,2,77.59,Low,False
