student_id,course_id,term,midterm_score,assignment_score,final_score,gpa,credits,age,gender,socio_economic_tier,distance_from_campus_km,internet_access,parent_education,lms_logins_per_week,video_watch_hours,forum_posts,quiz_attempts,avg_quiz_score,total_classes,classes_attended,attendance_rate,tardy_count,engagement_index,dropout_risk,is_anomaly
STU10004,AI301,Spring 2026,47.5,58.0,50.7,2.03,4,21,Male,High,1.8,High-Speed,High School,15,9.9,4,9,53.4,45,25,56.4,1,61.38,High,False
STU10006,DS201,Spring 2026,36.9,38.7,37.4,1.5,4,25,Male,Medium,26.1,High-Speed,High School,7,19.1,3,12,56.5,50,16,31.4,5,37.5,High,False
STU10009,AI301,Fall 2025,44.3,40.6,43.2,1.73,3,22,Female,Medium,1.0,High-Speed,High School,17,8.5,2,3,63.6,45,36,79.9,5,78.17,High,True
STU10011,AI301,Fall 2025,53.6,60.0,55.5,2.22,3,24,Female,Medium,43.8,Moderate,Bachelors,11,23.3,4,10,90.4,45,21,47.4,7,58.28,High,False
STU10012,SE501,Spring 2026,38.9,42.9,40.1,1.6,3,22,Female,Medium,1.4,High-Speed,Bachelors,12,13.7,5,8,45.0,40,25,63.1,3,58.55,High,True
STU10015,AI301,Fall 2025,54.5,62.2,56.8,2.27,3,22,Male,High,12.8,High-Speed,High School,6,13.6,4,3,85.5,45,23,50.1,0,51.15,High,False
STU10017,SE501,Spring 2026,45.7,46.7,46.0,1.84,4,22,Female,Low,11.5,Limited,Masters,8,14.7,2,13,71.8,45,23,51.8,3,52.26,High,False
STU10020,SE501,Fall 2025,58.4,51.3,56.3,2.25,3,20,Female,Medium,15.7,High-Speed,High School,8,24.2,1,8,89.3,45,25,56.6,1,58.16,High,False
STU10021,DS201,Fall 2025,45.2,36.4,42.5,1.7,3,20,Male,Low,15.8,High-Speed,Doctorate,8,20.6,3,14,50.1,40,27,66.4,0,55.22,High,False
STU10022,DB401,Spring 2026,60.3,60.9,60.5,2.42,4,23,Male,Medium,19.2,High-Speed,High School,8,13.7,6,5,99.9,50,25,49.3,3,56.63,High,False
STU10023,CS101,Spring 2026,50.9,43.2,48.6,1.94,3,21,Male,Low,23.2,Moderate,Masters,7,9.5,1,3,80.7,45,22,49.7,2,51.49,High,False
STU10024,AI301,Fall 2025,47.2,41.6,45.5,1.82,3,19,Male,Medium,6.8,High-Speed,Bachelors,9,27.9,2,11,80.2,50,26,52.1,6,55.59,High,False
STU10026,AI301,Spring 2026,43.3,30.1,39.4,1.58,3,22,Male,Medium,15.2,Moderate,High School,13,15.1,7,8,69.0,45,25,54.6,4,60.6,High,True
