student_id,course_id,term,term_index,midterm_score,assignment_score,final_score,gpa,credits,age,gender,socio_economic_tier,distance_from_campus_km,internet_access,parent_education,lms_logins_per_week,video_watch_hours,forum_posts,quiz_attempts,avg_quiz_score,total_classes,classes_attended,attendance_rate,tardy_count,engagement_index,dropout_risk,is_anomaly
STU10016,CS101,Fall 2025,4,58.4,59.9,58.8,2.35,4,20,Male,Low,6.0,Moderate,High School,12,9.7,5,14,75.3,40,23,57.3,3,61.71,High,False
STU10043,SE501,Fall 2025,4,53.1,49.0,51.9,2.08,3,24,Female,High,2.3,Limited,Masters,8,24.0,2,5,79.4,40,20,50.8,1,53.28,High,False
STU10065,DB401,Fall 2025,4,44.1,48.6,45.5,1.82,3,24,Female,High,14.3,Moderate,Bachelors,4,13.8,9,5,63.3,40,15,38.3,2,37.81,High,False
STU10098,DS201,Fall 2025,4,49.5,52.1,50.3,2.01,3,22,Male,High,7.6,Moderate,Bachelors,6,20.9,8,14,69.4,45,26,57.3,3,51.53,High,False
STU10132,AI301,Fall 2025,4,52.5,60.6,54.9,2.2,3,21,Male,Medium,0.6,High-Speed,Doctorate,6,12.5,4,13,82.8,50,17,33.6,4,42.36,High,False
STU10160,AI301,Fall 2025,4,43.0,50.0,45.1,1.8,4,25,Male,Low,2.9,High-Speed,Doctorate,8,9.1,4,4,62.2,45,24,53.4,2,51.14,High,False
STU10162,DS201,Fall 2025,4,41.9,45.4,43.0,1.72,4,18,Female,Medium,10.5,Limited,Bachelors,7,12.8,3,9,55.2,45,21,45.9,0,44.49,High,False
STU10176,CS101,Fall 2025,4,55.9,51.9,54.7,2.19,4,19,Female,Medium,3.3,Moderate,High School,8,15.5,2,14,69.3,40,23,58.1,4,54.91,High,False
STU10197,DS201,Fall 2025,4,49.0,50.4,49.4,1.98,3,22,Female,Medium,17.2,Moderate,Masters,9,3.7,7,11,77.2,45,18,39.3,2,48.59,High,False
STU10200,SE501,Fall 2025,4,39.6,39.1,39.5,1.58,3,20,Female,High,6.4,Moderate,High School,3,13.0,3,6,71.7,40,16,40.6,4,39.14,High,False
STU10205,DB401,Fall 2025,4,51.4,57.5,53.2,2.13,3,19,Male,Low,19.9,Limited,High School,10,16.2,5,14,44.0,50,29,58.2,3,52.9,High,False
STU10208,CS101,Fall 2025,4,31.8,39.4,34.1,1.36,3,25,Male,Medium,5.8,Moderate,High School,11,14.0,6,12,66.8,40,18,46.1,1,52.91,High,True
STU10257,SE501,Fall 2025,4,62.7,58.7,61.5,2.46,4,20,Female,High,19.7,Moderate,Doctorate,7,11.9,3,11,78.1,50,18,35.6,3,43.92,High,False
STU10286,CS101,Fall 2025,4,48.2,51.6,49.2,1.97,3,21,Male,Medium,0.4,High-Speed,Bachelors,10,10.3,4,5,72.5,50,36,71.8,8,65.4,High,True
STU10287,DS201,Fall 2025,4,33.7,30.0,32.6,1.3,4,18,Female,High,39.3,Moderate,Doctorate,7,10.2,12,6,72.0,45,16,34.8,3,42.3,High,False
STU10339,DB401,Fall 2025,4,45.8,38.5,43.6,1.74,3,24,Male,High,3.0,Moderate,High School,11,9.0,4,4,61.9,40,24,60.6,3,59.18,High,True
STU10350,DS201,Fall 2025,4,37.9,43.6,39.6,1.58,3,22,Female,Medium,2.4,Moderate,Bachelors,9,12.0,3,12,93.8,45,17,36.9,2,50.71,High,False
STU10374,DB401,Fall 2025,4,62.1,61.2,61.8,2.47,3,23,Male,Medium,30.2,Moderate,Bachelors,11,11.3,4,12,68.4,45,27,60.1,3,60.23,High,False
STU10379,AI301,Fall 2025,4,51.1,57.3,53.0,2.12,4,22,Male,Low,2.2,High-Speed,Doctorate,12,15.8,5,3,52.8,50,30,59.4,2,58.26,High,False
STU10417,SE501,Fall 2025,4,54.5,51.2,53.5,2.14,4,22,Male,Low,9.0,Moderate,Masters,5,11.8,4,8,82.2,50,22,44.0,1,45.94,High,False
STU10429,DB401,Fall 2025,4,49.3,45.3,48.1,1.92,4,22,Male,Low,15.3,Moderate,Bachelors,8,24.5,4,12,49.9,45,26,58.7,4,51.33,High,False
STU10448,SE501,Fall 2025,4,53.1,57.5,54.4,2.18,4,25,Male,High,20.5,High-Speed,High School,8,17.1,6,14,59.8,40,16,39.7,3,43.81,High,False
STU10485,CS101,Fall 2025,4,39.6,45.2,41.3,1.65,3,24,Female,Medium,22.7,High-Speed,Bachelors,9,29.7,4,2,65.5,40,20,49.2,2,51.2,High,False
STU10517,SE501,Fall 2025,4,37.8,35.8,37.2,1.49,4,21,Female,Medium,7.4,Moderate,Bachelors,10,15.7,7,7,74.3,40,20,48.9,5,54.31,High,True
STU10574,DB401,Fall 2025,4,60.6,51.9,58.0,2.32,3,20,Female,High,28.6,High-Speed,Bachelors,13,17.3,4,9,60.9,50,33,66.9,1,65.13,High,False
STU10590,AI301,Fall 2025,4,34.3,43.1,36.9,1.48,4,18,Male,High,2.0,Limited,Bachelors,8,14.3,4,3,57.3,45,19,41.3,4,44.11,High,False
STU10603,DB401,Fall 2025,4,35.0,32.2,34.2,1.37,4,22,Male,Low,14.1,High-Speed,High School,6,15.9,6,8,66.6,50,27,53.9,2,49.27,High,False
STU10606,DB401,Fall 2025,4,42.2,36.1,40.4,1.62,4,18,Male,Low,4.7,High-Speed,Masters,9,19.0,5,5,65.5,50,28,56.0,1,54.6,High,False
STU10617,DB401,Fall 2025,4,61.4,64.2,62.2,2.49,4,18,Male,Low,7.4,Limited,Bachelors,7,17.1,2,5,68.1,45,24,52.4,5,50.32,High,False
STU10670,SE501,Fall 2025,4,61.9,58.8,61.0,2.44,4,24,Male,High,7.2,Moderate,Bachelors,7,31.3,4,7,68.0,45,21,47.3,1,47.75,High,False
STU10673,SE501,Fall 2025,4,39.4,42.6,40.4,1.62,3,22,Female,Low,17.5,High-Speed,Bachelors,5,15.4,5,13,70.1,50,17,34.9,5,38.97,High,False
STU10703,DS201,Fall 2025,4,32.9,30.0,32.0,1.28,4,19,Male,Medium,16.6,Moderate,High School,4,10.6,3,10,54.7,40,15,37.3,5,35.59,High,False
STU10725,CS101,Fall 2025,4,48.4,43.0,46.8,1.87,4,25,Female,Medium,2.5,High-Speed,Masters,14,20.2,6,12,43.9,40,24,60.0,3,59.78,High,False
STU10729,DB401,Fall 2025,4,49.9,52.5,50.7,2.03,4,19,Male,Medium,3.0,High-Speed,High School,14,15.6,9,8,58.3,50,26,51.0,6,58.16,High,False
STU10740,CS101,Fall 2025,4,47.6,40.3,45.4,1.82,4,18,Male,Medium,2.5,High-Speed,Bachelors,9,20.4,4,10,85.1,50,19,38.5,3,49.77,High,False
STU10744,CS101,Fall 2025,4,54.0,48.3,52.3,2.09,4,21,Male,Medium,12.3,High-Speed,Bachelors,7,7.8,1,9,75.3,40,22,55.6,0,53.36,High,False
STU10757,SE501,Fall 2025,4,46.8,55.9,49.5,1.98,3,21,Female,High,4.0,High-Speed,High School,5,10.0,7,12,73.6,45,25,55.6,3,50.02,High,False
STU10772,CS101,Fall 2025,4,40.7,42.0,41.1,1.64,4,19,Male,Low,1.8,Moderate,Bachelors,3,13.5,1,9,63.3,50,18,35.6,2,34.96,High,False
STU10783,SE501,Fall 2025,4,61.2,64.1,62.1,2.48,3,19,Male,Medium,2.5,High-Speed,High School,9,13.8,5,11,77.8,40,25,62.7,2,60.41,High,False
STU10789,CS101,Fall 2025,4,47.1,46.8,47.0,1.88,4,19,Female,Medium,2.5,High-Speed,Bachelors,10,20.6,6,3,86.6,40,23,57.0,1,60.82,High,False
STU10823,SE501,Fall 2025,4,55.5,60.9,57.1,2.28,4,25,Male,Medium,5.6,High-Speed,Bachelors,5,13.6,2,12,64.5,45,25,55.2,1,48.0,High,False
STU10837,SE501,Fall 2025,4,51.8,54.0,52.4,2.1,4,19,Male,Medium,3.5,High-Speed,Masters,9,10.6,0,10,62.4,50,27,54.2,4,53.08,High,False
STU10861,CS101,Fall 2025,4,46.8,49.7,47.7,1.91,3,20,Male,Low,4.6,Moderate,High School,7,8.9,2,2,67.6,50,23,45.9,3,46.97,High,False
STU10925,CS101,Fall 2025,4,43.2,38.4,41.8,1.67,4,25,Male,Medium,15.1,High-Speed,Masters,12,16.5,6,12,48.4,40,27,66.7,3,61.03,High,True
STU10938,SE501,Fall 2025,4,40.7,53.4,44.5,1.78,4,20,Male,Medium,18.4,High-Speed,High School,11,15.1,6,7,58.0,50,24,48.3,4,52.25,High,True
STU10954,SE501,Fall 2025,4,52.0,47.6,50.7,2.03,4,20,Male,High,5.2,Moderate,Bachelors,14,22.0,6,2,65.9,50,40,80.0,3,74.18,High,False
STU10972,AI301,Fall 2025,4,43.8,44.8,44.1,1.76,4,18,Female,Medium,2.7,High-Speed,Masters,7,18.3,6,11,76.1,50,21,42.8,2,47.12,High,False
STU10983,CS101,Fall 2025,4,30.4,31.8,30.8,1.23,3,23,Male,High,0.9,Moderate,Masters,8,17.9,6,6,66.0,50,20,40.6,2,45.5,High,False
STU11015,DS201,Fall 2025,4,34.9,32.3,34.1,1.36,4,19,Female,Low,7.6,High-Speed,Bachelors,13,11.9,5,2,54.7,40,26,65.5,1,63.19,High,True
STU11049,CS101,Fall 2025,4,42.9,41.7,42.5,1.7,3,22,Male,Low,1.0,High-Speed,Bachelors,9,16.4,2,2,61.8,40,18,44.7,4,48.21,High,False
STU11056,DB401,Fall 2025,4,46.0,46.3,46.1,1.84,3,23,Female,Low,2.0,High-Speed,Bachelors,8,19.5,7,12,60.5,40,24,60.8,1,54.5,High,False
STU11073,AI301,Fall 2025,4,42.3,45.0,43.1,1.72,3,19,Male,Low,7.1,Moderate,Bachelors,9,14.1,5,11,47.4,40,24,60.2,4,53.08,High,False
STU11095,AI301,Fall 2025,4,55.8,53.7,55.2,2.21,4,19,Male,Medium,5.0,Limited,Bachelors,9,22.8,6,4,68.3,50,26,51.9,2,53.11,High,False
STU11253,CS101,Fall 2025,4,48.9,48.0,48.6,1.94,4,19,Male,Low,2.5,High-Speed,Bachelors,10,17.4,5,5,64.7,50,26,52.2,3,54.04,High,False
STU11254,AI301,Fall 2025,4,59.3,57.4,58.7,2.35,3,18,Female,High,2.0,Moderate,High School,8,10.0,3,14,72.9,50,31,61.3,3,57.23,High,False
STU11273,DB401,Fall 2025,4,66.0,64.6,65.6,2.62,3,18,Male,Medium,15.4,High-Speed,High School,6,15.8,3,3,77.1,45,23,50.9,5,49.87,High,False
STU11282,SE501,Fall 2025,4,54.3,60.0,56.0,2.24,3,23,Female,Medium,4.2,High-Speed,Masters,8,9.3,2,14,54.1,40,24,59.4,2,52.52,High,False
STU11295,CS101,Fall 2025,4,44.3,48.5,45.5,1.82,4,18,Male,Medium,18.2,High-Speed,Masters,8,19.5,7,4,62.4,45,18,40.9,7,44.93,High,False
STU11328,AI301,Fall 2025,4,52.0,53.0,52.3,2.09,3,23,Female,Medium,0.3,Moderate,Bachelors,12,18.0,1,11,63.3,40,19,48.7,1,55.01,High,False
STU11378,DB401,Fall 2025,4,47.2,68.2,53.5,2.14,3,18,Male,Medium,10.6,High-Speed,Bachelors,7,33.6,4,9,66.1,50,26,52.3,1,49.87,High,False
STU11426,CS101,Fall 2025,4,57.8,51.4,55.9,2.24,4,21,Male,Medium,0.4,Moderate,High School,12,8.8,0,9,79.7,50,29,57.9,3,62.89,High,False
STU11475,CS101,Fall 2025,4,25.0,30.0,24.4,0.98,3,22,Female,Medium,2.1,Moderate,Masters,10,18.3,9,2,47.5,40,20,50.8,5,49.9,High,True
STU11503,SE501,Fall 2025,4,36.1,37.1,36.4,1.46,3,19,Male,Medium,6.3,High-Speed,Masters,7,13.1,4,14,58.6,50,27,54.5,2,49.47,High,False
STU11599,AI301,Fall 2025,4,46.7,47.8,47.0,1.88,4,18,Female,Medium,21.4,Moderate,High School,10,21.4,3,7,52.5,40,24,59.1,5,55.05,High,False
STU11620,SE501,Fall 2025,4,54.6,54.4,54.5,2.18,4,22,Male,High,10.3,High-Speed,High School,7,9.7,5,13,69.9,50,26,52.1,3,50.53,High,False
STU11638,DB401,Fall 2025,4,49.7,43.9,47.9,1.92,3,19,Other,Medium,11.0,Limited,Bachelors,9,12.0,4,8,66.2,45,25,56.5,4,54.99,High,False
STU11659,AI301,Fall 2025,4,41.3,35.7,39.6,1.58,3,20,Male,Medium,0.1,High-Speed,High School,6,11.1,4,7,63.6,40,17,42.1,3,42.77,High,False
STU11663,CS101,Fall 2025,4,42.5,47.3,43.9,1.76,3,18,Female,Medium,0.7,High-Speed,High School,13,16.2,5,9,63.9,45,24,52.7,3,58.63,High,True
STU11677,CS101,Fall 2025,4,29.2,30.0,29.4,1.18,3,20,Male,Medium,8.4,High-Speed,Masters,10,24.4,4,6,49.1,50,27,54.5,3,52.07,High,True
STU11690,SE501,Fall 2025,4,52.7,43.6,50.0,2.0,4,20,Male,High,5.2,Moderate,Bachelors,10,15.9,1,7,73.0,45,28,62.2,5,60.7,High,False
STU11716,SE501,Fall 2025,4,52.3,45.1,50.1,2.0,3,25,Male,Medium,0.8,Moderate,Bachelors,8,19.7,2,12,62.4,50,31,62.0,4,55.48,High,False
STU11770,SE501,Fall 2025,4,38.3,45.1,40.3,1.61,3,18,Male,Medium,6.6,High-Speed,Bachelors,7,8.5,7,9,73.4,40,20,49.0,2,49.68,High,False
