student_id,course_id,term,term_index,midterm_score,assignment_score,final_score,gpa,credits,age,gender,socio_economic_tier,distance_from_campus_km,internet_access,parent_education,lms_logins_per_week,video_watch_hours,forum_posts,quiz_attempts,avg_quiz_score,total_classes,classes_attended,attendance_rate,tardy_count,engagement_index,dropout_risk,is_anomaly
STU10045,DB401,Spring 2026,5,46.5,47.8,46.9,1.88,4,24,Female,Low,1.0,Moderate,Masters,6,11.1,7,11,75.8,45,26,57.8,2,53.06,High,False
STU10116,DS201,Spring 2026,5,44.2,43.6,44.0,1.76,3,22,Female,Medium,0.8,High-Speed,Masters,5,17.5,3,3,65.3,45,17,38.1,6,39.61,High,False
STU10133,DS201,Spring 2026,5,47.7,56.3,50.3,2.01,3,23,Male,High,7.3,Moderate,Masters,6,9.9,5,14,80.7,40,24,59.9,1,55.09,High,False
STU10149,DB401,Spring 2026,5,46.3,46.9,46.5,1.86,4,22,Male,Medium,23.6,Limited,Bachelors,8,10.9,3,6,71.5,45,25,55.7,4,54.15,High,False
STU10194,CS101,Spring 2026,5,33.4,36.1,34.2,1.37,3,19,Male,High,12.2,High-Speed,Bachelors,13,23.5,3,12,58.5,40,19,48.1,3,55.25,High,True
STU10233,SE501,Spring 2026,5,47.0,48.8,47.5,1.9,4,23,Female,High,1.8,High-Speed,High School,9,13.3,5,3,66.0,50,27,54.2,3,53.8,High,False
STU10253,DS201,Spring 2026,5,42.0,42.4,42.1,1.68,4,23,Male,Medium,0.5,High-Speed,Bachelors,7,22.3,2,11,45.1,50,29,58.8,4,48.92,High,False
STU10258,DB401,Spring 2026,5,41.0,47.6,43.0,1.72,3,19,Female,High,2.3,High-Speed,High School,11,5.3,4,4,54.5,50,32,63.3,3,59.05,High,True
STU10264,SE501,Spring 2026,5,48.5,50.4,49.1,1.96,4,21,Female,Medium,13.6,High-Speed,Masters,7,18.2,2,7,64.6,40,21,52.2,1,49.52,High,False
STU10270,DB401,Spring 2026,5,52.0,53.6,52.5,2.1,3,22,Female,Medium,12.0,Moderate,Bachelors,10,12.2,1,11,56.9,40,26,63.8,2,58.28,High,False
STU10284,DB401,Spring 2026,5,52.2,58.9,54.2,2.17,4,25,Female,High,7.4,High-Speed,High School,9,11.2,2,7,59.6,40,24,59.7,3,55.27,High,False
