student_id,course_id,term,term_index,midterm_score,assignment_score,final_score,gpa,credits,age,gender,socio_economic_tier,distance_from_campus_km,internet_access,parent_education,lms_logins_per_week,video_watch_hours,forum_posts,quiz_attempts,avg_quiz_score,total_classes,classes_attended,attendance_rate,tardy_count,engagement_index,dropout_risk,is_anomaly
STU10027,CS101,Fall 2025,4,68.7,68.7,68.7,2.75,3,20,Female,Medium,0.0,Limited,Bachelors,11,8.6,5,12,92.5,45,30,65.7,0,67.85,Low,False
STU10034,DB401,Fall 2025,4,55.6,53.8,55.1,2.2,4,22,Female,High,1.5,Limited,Bachelors,15,12.3,2,14,71.8,50,37,74.2,5,73.96,Low,False
STU10055,DB401,Fall 2025,4,52.7,54.9,53.4,2.14,4,19,Female,Medium,7.2,High-Speed,Bachelors,11,19.0,4,7,56.5,50,32,64.5,4,60.05,Low,False
STU10096,SE501,Fall 2025,4,60.6,55.0,58.9,2.36,4,20,Female,Low,11.3,High-Speed,Masters,11,26.0,6,9,69.8,45,32,70.9,3,65.91,Low,False
STU10097,AI301,Fall 2025,4,67.8,66.3,67.4,2.7,4,21,Male,Low,5.5,High-Speed,Masters,17,16.1,6,10,75.8,45,37,81.5,2,81.41,Low,False
STU10113,AI301,Fall 2025,4,52.5,54.0,52.9,2.12,4,19,Female,Medium,3.1,High-Speed,High School,13,14.0,8,3,69.3,40,29,72.6,1,69.66,Low,False
STU10121,SE501,Fall 2025,4,63.1,65.4,63.8,2.55,3,21,Female,Medium,18.7,Moderate,Masters,11,16.1,7,14,76.0,45,31,68.4,2,65.9,Low,False
STU10127,DS201,Fall 2025,4,46.1,46.4,46.2,1.85,3,19,Female,Medium,23.4,High-Speed,High School,14,12.5,3,5,95.2,40,24,59.2,4,69.64,Low,False
STU10130,SE501,Fall 2025,4,41.8,48.8,43.9,1.76,4,23,Male,Medium,6.4,Moderate,Masters,13,19.5,1,14,79.7,45,30,66.7,1,68.79,Low,True
STU10140,DB401,Fall 2025,4,60.8,59.0,60.3,2.41,3,18,Female,Medium,4.9,High-Speed,Bachelors,14,19.5,1,2,78.3,50,37,73.4,6,73.36,Low,False
STU10170,DS201,Fall 2025,4,57.7,52.9,56.3,2.25,3,23,Female,Medium,0.7,High-Speed,Doctorate,18,15.1,2,9,58.6,50,45,89.3,2,83.37,Low,False
STU10172,AI301,Fall 2025,4,62.0,59.1,61.1,2.44,4,21,Female,High,8.3,Moderate,High School,12,6.7,2,10,82.3,45,35,76.9,0,72.91,Low,False
STU10175,DB401,Fall 2025,4,57.6,61.2,58.7,2.35,4,19,Male,Medium,13.3,High-Speed,Bachelors,15,17.0,5,9,68.1,40,29,72.2,3,72.22,Low,False
STU10207,AI301,Fall 2025,4,65.1,54.2,61.8,2.47,4,23,Female,Medium,15.2,High-Speed,High School,17,21.7,2,7,80.3,50,42,83.1,1,83.11,Low,False
STU10229,DB401,Fall 2025,4,66.5,67.8,66.9,2.68,4,19,Female,Medium,3.5,Moderate,High School,13,14.4,4,9,72.0,40,29,73.2,1,70.5,Low,False
STU10231,CS101,Fall 2025,4,58.5,59.4,58.8,2.35,3,19,Female,Low,3.8,High-Speed,High School,15,8.0,3,11,87.5,45,34,75.9,4,77.95,Low,False
STU10256,DB401,Fall 2025,4,66.5,63.0,65.5,2.62,4,22,Female,Low,4.4,Moderate,Bachelors,13,13.4,3,13,82.4,40,28,70.0,2,70.98,Low,False
STU10269,AI301,Fall 2025,4,52.5,54.0,53.0,2.12,3,19,Male,Medium,4.2,Moderate,Bachelors,16,14.8,4,5,65.4,50,42,83.3,2,78.73,Low,False
STU10277,DS201,Fall 2025,4,69.0,64.3,67.6,2.7,4,24,Female,High,24.5,High-Speed,Bachelors,15,10.6,4,7,59.9,45,37,82.1,2,75.53,Low,False
STU10282,SE501,Fall 2025,4,57.8,56.8,57.5,2.3,3,25,Male,High,1.4,High-Speed,High School,13,22.6,2,2,65.7,50,40,79.6,3,72.44,Low,False
STU10315,DS201,Fall 2025,4,68.7,74.6,70.5,2.82,3,23,Female,Medium,1.0,High-Speed,Bachelors,13,17.2,3,7,97.5,50,40,79.4,3,78.7,Low,False
STU10320,CS101,Fall 2025,4,63.9,63.5,63.8,2.55,4,19,Female,Medium,1.5,Moderate,High School,16,12.1,4,7,78.5,50,39,78.8,2,79.1,Low,False
STU10331,SE501,Fall 2025,4,63.3,65.8,64.1,2.56,4,24,Female,Medium,1.8,High-Speed,High School,9,9.6,3,3,98.9,45,28,63.0,1,64.78,Low,False
STU10346,DB401,Fall 2025,4,62.4,48.2,58.1,2.32,3,18,Female,High,27.2,High-Speed,Masters,20,20.8,2,10,55.4,40,37,93.1,4,87.63,Low,False
STU10353,CS101,Fall 2025,4,84.9,83.0,84.3,3.37,4,18,Male,Low,7.1,High-Speed,Bachelors,14,7.4,2,13,81.7,45,35,77.7,1,76.19,Low,False
STU10407,CS101,Fall 2025,4,70.9,65.4,69.3,2.77,4,21,Male,Medium,15.9,High-Speed,Masters,20,14.4,2,8,62.7,40,37,93.0,3,89.04,Low,False
STU10426,SE501,Fall 2025,4,61.7,59.5,61.0,2.44,3,18,Male,High,5.5,High-Speed,High School,13,14.7,2,5,89.1,50,38,75.4,1,75.02,Low,False
STU10447,AI301,Fall 2025,4,51.3,55.6,52.6,2.1,3,18,Female,Medium,2.3,High-Speed,High School,9,16.2,5,9,83.7,45,32,71.7,4,66.09,Low,False
STU10450,AI301,Fall 2025,4,56.0,52.3,54.9,2.2,3,20,Female,High,5.6,Moderate,High School,12,19.6,6,11,74.2,40,28,69.2,6,67.44,Low,False
STU10457,CS101,Fall 2025,4,59.1,64.0,60.6,2.42,4,19,Male,High,21.2,Limited,High School,15,12.3,4,6,69.6,45,30,65.8,7,69.32,Low,False
STU10461,SE501,Fall 2025,4,62.8,63.4,63.0,2.52,4,24,Female,Medium,0.3,High-Speed,Doctorate,15,11.4,4,10,56.6,40,29,73.0,3,70.32,Low,False
STU10463,CS101,Fall 2025,4,61.7,57.3,60.4,2.42,3,21,Female,Medium,2.1,High-Speed,Bachelors,15,10.5,7,9,67.1,45,34,75.9,4,73.87,Low,False
STU10468,AI301,Fall 2025,4,70.8,65.4,69.2,2.77,4,24,Male,Medium,9.3,High-Speed,High School,17,23.0,3,12,79.6,50,42,83.2,4,83.02,Low,False
STU10478,CS101,Fall 2025,4,57.6,56.0,57.1,2.28,3,24,Female,Medium,1.8,High-Speed,Bachelors,12,18.6,5,5,83.0,40,29,72.3,3,70.75,Low,False
STU10480,DB401,Fall 2025,4,48.5,51.8,49.5,1.98,4,25,Female,Low,1.9,High-Speed,Bachelors,10,10.6,1,5,67.6,45,31,69.9,2,63.47,Low,False
STU10487,DB401,Fall 2025,4,70.1,67.3,69.3,2.77,4,18,Male,Medium,0.1,Moderate,High School,14,13.5,3,14,91.4,40,29,72.7,2,75.63,Low,False
STU10521,DB401,Fall 2025,4,71.7,71.5,71.6,2.86,4,19,Male,High,19.2,High-Speed,High School,15,18.0,4,7,71.3,45,36,80.6,2,77.06,Low,False
STU10522,DB401,Fall 2025,4,40.2,30.0,37.2,1.49,4,24,Female,High,29.1,Moderate,High School,17,4.8,3,11,63.8,50,36,72.8,4,74.66,Low,True
STU10526,DB401,Fall 2025,4,52.7,56.2,53.7,2.15,3,24,Male,High,0.4,High-Speed,Bachelors,11,18.4,3,12,70.8,45,30,67.1,4,64.21,Low,False
STU10555,DS201,Fall 2025,4,53.7,44.4,50.9,2.04,4,20,Male,Medium,8.4,Moderate,High School,18,16.9,2,5,51.4,40,34,85.8,4,80.18,Low,False
STU10611,AI301,Fall 2025,4,63.2,62.3,62.9,2.52,3,21,Female,Medium,7.1,High-Speed,High School,14,15.3,6,10,63.7,50,36,72.8,5,70.14,Low,False
STU10630,AI301,Fall 2025,4,65.4,63.9,64.9,2.6,3,21,Female,Medium,10.5,High-Speed,Masters,13,20.0,3,6,84.3,40,27,66.5,3,69.61,Low,False
STU10637,CS101,Fall 2025,4,59.1,62.4,60.1,2.4,4,22,Male,High,0.0,Moderate,Masters,11,7.8,4,2,67.2,45,31,69.0,5,64.44,Low,False
STU10663,AI301,Fall 2025,4,71.0,61.7,68.2,2.73,4,21,Male,Medium,1.0,Moderate,Bachelors,19,6.8,3,4,84.2,50,41,82.4,2,86.54,Low,False
STU10701,DB401,Fall 2025,4,64.5,63.5,64.2,2.57,3,22,Male,Medium,6.8,Moderate,Bachelors,17,9.4,4,6,88.9,50,39,78.1,2,82.33,Low,False
STU10771,AI301,Fall 2025,4,60.7,55.4,59.1,2.36,3,23,Female,Low,3.8,High-Speed,High School,15,15.4,4,5,75.6,45,34,75.1,5,75.17,Low,False
STU10799,CS101,Fall 2025,4,66.7,66.7,66.7,2.67,3,18,Female,High,0.9,Moderate,High School,13,6.1,5,14,71.9,50,37,74.2,2,70.98,Low,False
STU10816,AI301,Fall 2025,4,69.6,74.0,70.9,2.84,3,21,Female,High,2.1,High-Speed,Bachelors,14,22.5,4,7,78.7,40,22,55.0,0,64.24,Low,False
STU10865,SE501,Fall 2025,4,72.9,73.8,73.2,2.93,3,19,Female,Medium,9.2,High-Speed,Bachelors,18,18.2,3,10,64.1,45,42,94.2,4,86.92,Low,False
STU10875,DS201,Fall 2025,4,56.6,56.7,56.6,2.26,3,24,Male,Medium,8.0,Limited,Bachelors,16,13.8,6,4,61.4,45,38,84.9,1,78.73,Low,False
STU10879,DB401,Fall 2025,4,54.7,63.7,57.4,2.3,4,22,Male,Medium,13.7,Moderate,High School,13,14.1,2,9,80.5,50,37,73.4,2,72.3,Low,False
STU10905,SE501,Fall 2025,4,58.5,56.2,57.8,2.31,4,20,Female,Low,4.0,High-Speed,High School,17,20.3,5,10,67.6,45,37,83.2,2,80.62,Low,False
STU10910,SE501,Fall 2025,4,49.5,56.1,51.5,2.06,3,20,Female,Medium,1.2,High-Speed,High School,16,15.3,1,14,82.8,40,31,78.4,4,79.76,Low,False
STU10911,SE501,Fall 2025,4,56.5,61.9,58.1,2.32,3,22,Male,High,2.3,Limited,High School,20,8.6,6,2,64.8,40,34,85.7,3,85.81,Low,False
STU10937,SE501,Fall 2025,4,61.3,56.6,59.9,2.4,3,22,Female,Low,14.3,Moderate,High School,14,9.1,3,14,72.3,45,35,77.7,3,74.31,Low,False
STU10948,DB401,Fall 2025,4,60.9,53.2,58.6,2.34,4,18,Female,Low,16.9,High-Speed,Masters,15,18.1,1,10,79.7,40,31,76.4,4,76.64,Low,False
STU10985,SE501,Fall 2025,4,80.9,70.6,77.8,3.11,4,25,Female,Medium,45.3,High-Speed,High School,11,9.3,2,7,79.9,50,36,71.4,7,68.18,Low,False
STU11009,CS101,Fall 2025,4,49.6,56.3,51.6,2.06,4,23,Male,Low,8.5,High-Speed,High School,14,16.8,3,11,81.4,40,23,57.7,0,66.13,Low,False
STU11018,AI301,Fall 2025,4,50.9,55.0,52.1,2.08,3,18,Female,Medium,2.8,High-Speed,Bachelors,12,12.2,0,10,84.2,45,31,69.7,3,69.69,Low,False
STU11039,DB401,Fall 2025,4,77.6,86.9,80.4,3.22,3,18,Male,High,3.4,Moderate,Bachelors,18,18.4,3,11,75.4,50,46,91.7,2,87.93,Low,False
STU11040,DB401,Fall 2025,4,52.0,51.3,51.8,2.07,3,22,Female,Medium,6.0,Moderate,Masters,17,17.9,2,13,99.2,40,24,59.7,4,75.19,Low,False
STU11045,DB401,Fall 2025,4,62.5,70.4,64.9,2.6,4,18,Female,Medium,10.8,Moderate,Bachelors,12,19.5,5,3,83.8,40,30,73.8,2,71.66,Low,False
STU11048,SE501,Fall 2025,4,50.3,54.4,51.5,2.06,4,24,Female,Medium,18.6,Moderate,Doctorate,12,19.5,4,3,69.9,40,29,73.1,5,68.53,Low,False
STU11067,CS101,Fall 2025,4,61.3,65.1,62.4,2.5,3,24,Male,High,5.8,Moderate,High School,17,11.9,9,12,77.2,40,28,69.2,1,75.54,Low,False
STU11069,SE501,Fall 2025,4,62.8,61.1,62.3,2.49,4,25,Male,Low,18.1,High-Speed,High School,16,23.0,4,10,87.8,45,33,72.9,3,78.01,Low,False
STU11091,SE501,Fall 2025,4,51.9,49.2,51.1,2.04,3,23,Female,Low,5.2,High-Speed,Bachelors,14,9.0,6,10,91.9,45,29,64.8,4,71.78,Low,False
STU11094,AI301,Fall 2025,4,49.8,48.2,49.3,1.97,4,20,Male,Medium,5.8,Moderate,Bachelors,17,17.0,6,2,62.7,40,31,77.3,5,76.69,Low,False
STU11106,AI301,Fall 2025,4,57.0,53.4,55.9,2.24,3,19,Male,Medium,4.5,Moderate,Doctorate,9,17.8,8,4,75.0,50,36,72.0,4,64.5,Low,False
STU11108,AI301,Fall 2025,4,57.4,63.5,59.2,2.37,4,24,Female,Medium,2.5,Limited,Bachelors,11,9.2,3,14,100.0,50,33,66.4,3,69.7,Low,False
STU11109,SE501,Fall 2025,4,59.9,61.3,60.3,2.41,3,25,Male,High,5.2,High-Speed,Bachelors,13,18.3,2,7,77.9,40,32,80.4,5,75.28,Low,False
STU11119,AI301,Fall 2025,4,51.4,55.4,52.6,2.1,4,19,Male,Low,0.3,High-Speed,Masters,11,22.8,2,12,83.8,40,21,53.6,4,60.06,Low,False
STU11140,CS101,Fall 2025,4,58.8,57.0,58.3,2.33,4,23,Female,High,6.8,Moderate,High School,16,10.2,6,8,75.2,45,39,86.6,3,82.34,Low,False
STU11141,DS201,Fall 2025,4,57.9,58.0,57.9,2.32,3,19,Male,Medium,6.1,Moderate,Bachelors,18,13.5,3,3,70.3,45,29,63.6,1,72.86,Low,False
STU11148,DS201,Fall 2025,4,59.7,63.1,60.7,2.43,4,18,Female,Medium,7.0,High-Speed,Bachelors,15,19.6,0,10,74.6,50,41,82.5,1,78.67,Low,False
STU11149,SE501,Fall 2025,4,52.0,51.9,52.0,2.08,4,24,Female,Low,10.9,Moderate,High School,17,15.6,5,13,59.1,50,42,83.7,3,79.17,Low,False
STU11202,AI301,Fall 2025,4,61.1,59.4,60.6,2.42,4,25,Male,Medium,12.9,High-Speed,Masters,11,21.4,4,14,78.2,45,33,74.3,4,69.29,Low,False
STU11224,SE501,Fall 2025,4,54.9,48.2,52.9,2.12,4,23,Male,High,27.9,High-Speed,High School,13,18.3,4,2,81.4,50,35,69.1,8,70.33,Low,True
STU11255,DS201,Fall 2025,4,50.4,46.5,49.2,1.97,4,22,Male,High,8.1,High-Speed,High School,15,17.0,2,2,69.4,50,41,82.2,3,77.48,Low,False
STU11265,AI301,Fall 2025,4,40.9,53.3,44.6,1.78,4,21,Male,High,6.4,Moderate,Bachelors,16,13.6,1,2,64.7,45,35,77.8,2,75.84,Low,True
STU11268,SE501,Fall 2025,4,57.2,58.2,57.5,2.3,4,23,Female,Medium,13.5,Moderate,Masters,14,9.3,2,3,81.0,50,35,70.6,2,72.5,Low,False
STU11291,DB401,Fall 2025,4,47.2,40.8,45.3,1.81,3,22,Male,Low,2.8,Moderate,Bachelors,12,13.3,7,12,69.7,40,30,73.9,0,68.89,Low,False
STU11296,DB401,Fall 2025,4,57.4,53.2,56.1,2.24,3,20,Male,Low,31.8,Moderate,High School,19,13.6,2,9,81.3,45,30,65.8,3,77.66,Low,False
STU11306,SE501,Fall 2025,4,73.5,73.9,73.6,2.94,4,21,Female,Medium,4.8,Limited,Bachelors,20,19.6,5,13,85.7,40,36,91.2,4,92.74,Low,False
STU11310,DS201,Fall 2025,4,58.6,57.4,58.2,2.33,4,23,Male,Low,15.6,Moderate,High School,15,18.3,1,3,71.7,45,33,73.5,5,73.59,Low,False
STU11344,DS201,Fall 2025,4,64.3,59.0,62.7,2.51,3,18,Female,Low,5.3,Moderate,High School,14,21.3,5,8,83.5,45,35,77.8,3,76.6,Low,False
STU11361,SE501,Fall 2025,4,61.9,62.4,62.1,2.48,4,25,Male,High,3.3,High-Speed,Bachelors,11,9.5,4,4,86.2,45,30,65.6,4,66.54,Low,False
STU11402,DB401,Fall 2025,4,54.9,58.9,56.1,2.24,4,19,Male,Medium,9.2,Limited,High School,22,9.2,7,9,57.5,50,47,93.2,1,88.1,Low,False
STU11404,CS101,Fall 2025,4,60.0,56.7,59.0,2.36,4,24,Female,Medium,6.9,High-Speed,High School,10,11.0,1,2,100.0,40,26,64.9,2,67.45,Low,False
STU11432,SE501,Fall 2025,4,68.1,67.8,68.0,2.72,4,25,Male,Low,0.7,High-Speed,High School,12,11.3,3,11,76.7,45,31,68.7,0,67.69,Low,False
STU11437,DS201,Fall 2025,4,63.8,63.3,63.6,2.54,4,21,Female,High,13.7,Limited,Bachelors,15,12.0,2,5,74.1,40,34,85.9,5,80.27,Low,False
STU11455,DS201,Fall 2025,4,49.7,53.4,50.8,2.03,4,21,Female,Medium,11.7,Limited,Bachelors,19,9.7,3,5,63.4,40,34,85.9,1,84.13,Low,False
STU11460,DS201,Fall 2025,4,55.0,53.0,54.4,2.18,3,22,Male,Low,3.0,Moderate,Bachelors,10,14.9,4,12,79.8,40,26,65.4,2,63.66,Low,False
STU11472,DB401,Fall 2025,4,68.1,68.1,68.1,2.72,4,24,Female,Low,13.8,Moderate,High School,12,19.1,5,3,95.5,40,28,69.7,3,71.95,Low,False
STU11477,DB401,Fall 2025,4,75.4,72.3,74.5,2.98,4,19,Female,Medium,3.8,Moderate,Doctorate,14,12.4,3,14,70.3,50,36,71.0,4,70.56,Low,False
STU11518,AI301,Fall 2025,4,62.9,55.8,60.8,2.43,3,20,Male,Low,32.0,High-Speed,High School,14,20.4,3,5,81.6,50,40,79.9,3,77.27,Low,False
STU11532,AI301,Fall 2025,4,62.4,58.9,61.4,2.46,4,18,Female,Medium,20.8,Limited,High School,19,16.8,4,9,90.9,45,28,62.7,2,78.03,Low,False
STU11538,AI301,Fall 2025,4,52.9,53.2,53.0,2.12,4,18,Male,Medium,7.1,Limited,Bachelors,14,15.7,5,2,61.9,50,39,77.2,2,71.98,Low,False
STU11546,SE501,Fall 2025,4,48.4,48.2,48.3,1.93,3,25,Female,Medium,0.8,High-Speed,High School,17,14.5,2,5,69.2,40,37,91.3,0,84.99,Low,False
STU11559,AI301,Fall 2025,4,58.8,53.8,57.3,2.29,3,20,Female,Low,39.7,Limited,High School,12,18.5,2,4,68.0,40,28,70.7,1,66.95,Low,False
STU11568,CS101,Fall 2025,4,63.7,58.0,62.0,2.48,3,22,Female,Low,15.2,High-Speed,Masters,14,14.8,6,9,74.0,40,30,74.0,8,72.8,Low,True
STU11570,DS201,Fall 2025,4,53.1,54.7,53.6,2.14,4,19,Female,High,7.5,High-Speed,Doctorate,17,23.0,6,6,78.1,50,32,64.2,3,73.22,Low,False
STU11580,SE501,Fall 2025,4,63.8,72.0,66.3,2.65,4,21,Male,Medium,2.0,High-Speed,Masters,17,21.0,2,11,81.2,40,35,87.1,2,85.29,Low,False
