student_id,course_id,term,term_index,midterm_score,assignment_score,final_score,gpa,credits,age,gender,socio_economic_tier,distance_from_campus_km,internet_access,parent_education,lms_logins_per_week,video_watch_hours,forum_posts,quiz_attempts,avg_quiz_score,total_classes,classes_attended,attendance_rate,tardy_count,engagement_index,dropout_risk,is_anomaly
STU10011,CS101,Spring 2024,1,52.4,53.5,52.7,2.11,4,22,Female,High,43.3,High-Speed,High School,20,11.6,4,11,69.2,45,45,99.8,5,93.74,Low,False
STU10022,AI301,Spring 2024,1,40.7,34.6,38.9,1.56,3,24,Male,Medium,9.9,High-Speed,High School,14,19.7,3,6,66.4,40,23,57.0,4,62.78,Low,True
STU10052,DB401,Spring 2024,1,52.9,51.8,52.6,2.1,4,23,Female,Medium,3.2,High-Speed,Bachelors,11,8.2,5,3,81.6,50,37,73.5,2,69.57,Low,False
STU10068,SE501,Spring 2024,1,78.5,81.3,79.3,3.17,4,22,Male,High,8.3,Moderate,High School,18,8.7,3,14,86.3,45,42,93.3,1,90.91,Low,False
STU10088,DB401,Spring 2024,1,58.3,57.3,58.0,2.32,3,24,Female,Medium,28.1,High-Speed,High School,12,12.4,3,8,83.4,50,31,62.2,4,65.78,Low,False
STU10117,DS201,Spring 2024,1,69.6,64.8,68.2,2.73,3,21,Male,Medium,1.4,High-Speed,High School,15,11.4,1,6,85.2,45,35,77.7,1,78.39,Low,False
STU10202,SE501,Spring 2024,1,59.3,55.2,58.1,2.32,3,19,Male,Medium,13.3,High-Speed,Bachelors,14,15.2,4,4,73.6,50,33,66.5,3,68.97,Low,False
STU10238,SE501,Spring 2024,1,52.7,54.7,53.3,2.13,4,23,Female,Medium,24.4,High-Speed,High School,16,9.7,4,2,60.7,50,44,89.0,2,80.64,Low,False
STU10273,DB401,Spring 2024,1,75.4,74.5,75.1,3.0,3,21,Female,Medium,4.5,High-Speed,High School,8,20.0,0,11,90.4,45,30,67.3,1,63.73,Low,False
STU10278,CS101,Spring 2024,1,81.2,86.0,82.6,3.3,4,19,Female,High,13.6,High-Speed,Bachelors,12,10.6,3,5,89.5,50,39,77.9,1,74.85,Low,False
STU10301,SE501,Spring 2024,1,62.3,55.0,60.1,2.4,3,24,Female,Low,0.6,Limited,Masters,11,13.0,3,3,100.0,40,28,71.0,2,72.0,Low,False
STU10305,DS201,Spring 2024,1,67.1,70.7,68.2,2.73,3,24,Female,Low,16.6,High-Speed,Bachelors,9,17.0,2,14,84.9,50,33,65.6,6,63.28,Low,False
STU10332,AI301,Spring 2024,1,53.9,52.8,53.6,2.14,3,25,Male,Low,4.4,High-Speed,High School,11,20.0,2,7,62.6,50,34,68.7,3,63.37,Low,False
STU10343,DB401,Spring 2024,1,67.6,68.2,67.8,2.71,4,24,Male,Medium,1.5,High-Speed,Masters,16,24.8,6,11,78.7,45,38,85.2,1,82.34,Low,False
STU10364,DS201,Spring 2024,1,58.4,68.1,61.3,2.45,4,22,Female,Medium,7.0,Moderate,High School,16,24.2,6,13,70.2,40,29,73.2,3,74.64,Low,False
STU10366,SE501,Spring 2024,1,55.3,62.3,57.4,2.3,4,23,Female,Low,3.9,High-Speed,Bachelors,10,18.9,3,9,58.4,50,35,70.6,3,61.98,Low,False
STU10397,DS201,Spring 2024,1,49.7,53.4,50.8,2.03,3,23,Male,Medium,19.7,Moderate,High School,13,18.2,3,8,77.2,40,19,47.7,4,58.79,Low,False
STU10411,AI301,Spring 2024,1,54.9,57.9,55.8,2.23,3,19,Female,Medium,32.6,High-Speed,High School,14,20.9,3,6,73.6,45,34,74.8,7,73.12,Low,False
