student_id,course_id,term,midterm_score,assignment_score,final_score,gpa,credits,age,gender,socio_economic_tier,distance_from_campus_km,internet_access,parent_education,lms_logins_per_week,video_watch_hours,forum_posts,quiz_attempts,avg_quiz_score,total_classes,classes_attended,attendance_rate,tardy_count,engagement_index,dropout_risk,is_anomaly
STU10000,AI301,Spring 2026,50.5,48.9,50.0,2.0,4,24,Male,High,3.3,High-Speed,Bachelors,12,6.5,1,11,56.7,40,26,65.0,2,61.84,Medium,False
STU10001,SE501,Fall 2025,51.9,49.9,51.3,2.05,3,25,Female,Low,4.6,Moderate,Bachelors,12,22.6,3,5,52.3,50,32,63.5,5,60.21,Medium,False
STU10003,DS201,Fall 2025,66.0,64.1,65.4,2.62,3,18,Female,Medium,3.6,High-Speed,Masters,7,12.9,6,3,90.6,40,25,62.7,3,59.97,Medium,False
STU10005,DS201,Fall 2025,50.7,49.3,50.3,2.01,4,22,Male,Low,7.7,Moderate,Bachelors,14,6.7,2,12,68.4,40,29,73.6,4,71.48,Medium,False
STU10007,DB401,Fall 2025,47.8,52.7,49.3,1.97,4,21,Female,Medium,11.3,High-Speed,Bachelors,10,15.4,5,3,64.8,40,28,71.1,3,63.51,Medium,False
STU10008,DB401,Spring 2026,54.0,62.0,56.4,2.26,3,23,Female,Low,8.0,Limited,High School,11,8.6,3,10,74.0,45,28,61.4,2,62.0,Medium,False
STU10010,SE501,Fall 2025,49.9,47.8,49.3,1.97,4,24,Male,Medium,9.1,High-Speed,High School,12,13.3,4,14,85.1,50,36,72.3,1,71.17,Medium,False
STU10013,DS201,Spring 2026,55.7,61.1,57.3,2.29,3,24,Male,Medium,6.9,High-Speed,Bachelors,12,7.5,3,9,63.8,45,33,73.3,4,67.41,Medium,False
STU10014,CS101,Fall 2025,55.1,48.3,53.1,2.12,3,20,Male,Low,19.9,Limited,Doctorate,13,13.8,7,12,72.7,50,34,67.8,2,67.94,Medium,False
STU10016,AI301,Fall 2025,56.3,52.5,55.2,2.21,4,21,Male,Medium,11.3,Limited,High School,7,1.5,5,8,66.5,45,28,62.1,4,54.85,Medium,False
STU10018,DS201,Fall 2025,50.7,49.9,50.5,2.02,4,25,Male,Low,4.2,High-Speed,High School,17,13.8,9,7,58.1,50,36,73.0,4,73.62,Medium,False
STU10019,DS201,Fall 2025,57.5,53.1,56.2,2.25,4,24,Male,Medium,3.3,High-Speed,Doctorate,14,18.5,2,5,53.6,45,27,61.0,3,62.22,Medium,False
STU10025,CS101,Fall 2025,49.6,48.5,49.3,1.97,4,19,Female,Low,6.6,High-Speed,Doctorate,12,15.3,8,13,78.9,45,29,65.1,2,66.33,Medium,False
STU10028,DS201,Fall 2025,54.9,42.9,51.3,2.05,4,18,Female,High,11.5,Moderate,Doctorate,15,16.0,1,3,69.7,40,32,80.2,7,76.54,Medium,False
STU10030,DB401,Spring 2026,62.8,62.9,62.8,2.51,3,23,Female,Medium,21.0,High-Speed,Bachelors,11,12.1,4,2,71.6,40,29,71.4,4,66.52,Medium,False
STU10031,CS101,Fall 2025,48.5,51.1,49.3,1.97,4,21,Male,Low,3.9,Moderate,Bachelors,13,12.3,5,8,60.6,50,33,66.1,1,64.67,Medium,False
STU10032,SE501,Spring 2026,54.1,53.9,54.0,2.16,4,21,Male,High,4.5,Moderate,Bachelors,12,14.8,3,9,61.6,50,30,61.0,6,60.82,Medium,False
STU10034,DB401,Fall 2025,56.9,58.0,57.2,2.29,4,21,Female,Low,8.2,Moderate,Bachelors,7,11.4,5,7,83.7,50,31,61.3,2,57.89,Medium,False
STU10035,SE501,Fall 2025,53.8,59.0,55.3,2.21,4,21,Female,Medium,0.3,Moderate,Masters,12,15.5,5,6,64.6,45,31,68.2,1,65.02,Medium,False
STU10039,AI301,Fall 2025,54.9,53.7,54.5,2.18,3,25,Male,Low,8.5,Moderate,Masters,15,20.5,4,8,81.3,50,36,73.0,0,75.26,Medium,False
