student_id,course_id,term,term_index,midterm_score,assignment_score,final_score,gpa,credits,age,gender,socio_economic_tier,distance_from_campus_km,internet_access,parent_education,lms_logins_per_week,video_watch_hours,forum_posts,quiz_attempts,avg_quiz_score,total_classes,classes_attended,attendance_rate,tardy_count,engagement_index,dropout_risk,is_anomaly
STU10003,SE501,Fall 2024,2,63.1,61.5,62.6,2.5,4,25,Female,Low,10.1,High-Speed,Masters,12,18.9,4,11,76.8,40,23,56.9,2,61.81,Medium,False
STU10028,DB401,Fall 2024,2,44.0,41.7,43.3,1.73,4,22,Female,Medium,9.1,Moderate,Bachelors,12,2.2,6,7,80.9,50,24,48.3,1,58.33,Medium,True
STU10037,DB401,Fall 2024,2,46.0,39.7,44.1,1.76,4,23,Male,Medium,12.1,Moderate,Bachelors,9,12.7,7,10,86.8,45,25,56.6,1,59.16,Medium,False
STU10039,SE501,Fall 2024,2,55.4,51.9,54.3,2.17,3,19,Male,Medium,0.9,High-Speed,High School,12,9.0,5,8,57.8,45,29,65.5,4,62.31,Medium,False
STU10041,DB401,Fall 2024,2,59.6,54.4,58.0,2.32,3,22,Female,Low,5.3,Moderate,High School,11,14.4,3,12,74.3,45,33,74.1,2,68.41,Medium,False
STU10046,CS101,Fall 2024,2,65.4,67.4,66.0,2.64,4,23,Male,Medium,8.8,Moderate,Masters,13,17.2,5,6,85.2,50,36,72.4,4,72.74,Medium,False
STU10047,DB401,Fall 2024,2,45.2,48.8,46.3,1.85,4,19,Female,Low,10.8,High-Speed,Bachelors,11,15.7,5,8,82.2,45,22,49.1,4,57.49,Medium,False
STU10056,CS101,Fall 2024,2,50.8,47.9,49.9,2.0,3,19,Male,Low,10.9,High-Speed,High School,12,17.3,2,13,59.1,50,30,60.1,4,59.87,Medium,False
STU10090,CS101,Fall 2024,2,51.3,54.1,52.1,2.08,3,24,Male,Low,20.3,High-Speed,Bachelors,16,18.9,3,8,67.6,40,28,69.1,3,72.07,Medium,False
STU10102,SE501,Fall 2024,2,53.2,51.3,52.6,2.1,4,21,Male,Medium,6.0,High-Speed,High School,8,9.8,5,6,75.6,45,24,54.0,1,54.12,Medium,False
STU10111,CS101,Fall 2024,2,55.8,52.0,54.7,2.19,3,25,Male,Low,0.3,High-Speed,Bachelors,12,10.3,1,12,67.7,40,26,65.6,2,64.34,Medium,False
STU10122,CS101,Fall 2024,2,53.1,53.8,53.3,2.13,3,25,Male,Low,26.8,Limited,High School,10,21.2,2,6,74.0,40,29,73.7,3,66.65,Medium,False
STU10129,DS201,Fall 2024,2,41.3,41.1,41.3,1.65,4,23,Female,Medium,12.7,Moderate,High School,8,10.1,2,8,58.5,40,19,46.8,3,47.1,Medium,False
STU10146,SE501,Fall 2024,2,39.6,41.6,40.2,1.61,4,19,Female,Medium,1.7,High-Speed,Doctorate,10,12.0,8,3,64.8,50,30,60.7,3,58.31,Medium,True
STU10159,SE501,Fall 2024,2,51.9,58.2,53.8,2.15,3,19,Female,Medium,15.0,Limited,Bachelors,11,27.7,7,13,57.7,50,30,59.7,2,57.89,Medium,False
STU10179,DS201,Fall 2024,2,51.9,61.6,54.8,2.19,4,24,Male,Low,2.7,High-Speed,Bachelors,12,16.0,5,5,53.8,50,35,69.9,5,63.71,Medium,False
STU10209,DB401,Fall 2024,2,59.0,58.4,58.8,2.35,4,25,Male,High,3.8,High-Speed,High School,18,18.6,6,4,60.5,50,34,68.3,1,73.25,Medium,False
STU10222,AI301,Fall 2024,2,43.5,43.9,43.6,1.74,4,21,Male,Low,22.2,High-Speed,Bachelors,9,18.0,5,13,59.8,45,27,59.7,3,55.31,Medium,False
STU10223,DB401,Fall 2024,2,58.7,50.1,56.1,2.24,3,18,Male,Medium,22.6,Moderate,High School,14,11.3,1,8,56.0,40,29,72.1,4,68.25,Medium,False
STU10281,DB401,Fall 2024,2,52.2,52.0,52.1,2.08,4,21,Male,Low,21.6,High-Speed,High School,12,12.4,9,7,64.8,50,36,71.8,6,66.86,Medium,False
STU10295,CS101,Fall 2024,2,57.4,62.0,58.8,2.35,3,21,Female,Low,28.9,High-Speed,Masters,9,12.2,6,12,81.1,45,29,64.9,3,62.17,Medium,False
STU10299,AI301,Fall 2024,2,57.9,55.3,57.1,2.28,4,23,Male,Low,5.4,Moderate,High School,15,15.9,2,12,66.8,40,28,69.9,1,70.81,Medium,False
STU10308,SE501,Fall 2024,2,52.1,54.8,52.9,2.12,4,25,Female,Low,6.2,High-Speed,High School,10,16.9,8,11,92.8,50,26,51.5,1,59.31,Medium,False
STU10311,DB401,Fall 2024,2,39.5,38.3,39.2,1.57,4,24,Male,Low,8.5,High-Speed,High School,12,15.1,5,6,71.9,45,23,51.3,3,58.03,Medium,True
STU10327,DB401,Fall 2024,2,52.6,57.9,54.2,2.17,3,22,Female,Medium,0.2,High-Speed,Masters,14,19.0,3,3,75.8,40,27,66.3,2,69.31,Medium,False
STU10337,DS201,Fall 2024,2,49.0,47.6,48.6,1.94,4,23,Female,Medium,4.9,High-Speed,High School,12,13.7,6,13,74.6,50,32,63.7,3,64.77,Medium,False
