student_id,course_id,term,term_index,midterm_score,assignment_score,final_score,gpa,credits,age,gender,socio_economic_tier,distance_from_campus_km,internet_access,parent_education,lms_logins_per_week,video_watch_hours,forum_posts,quiz_attempts,avg_quiz_score,total_classes,classes_attended,attendance_rate,tardy_count,engagement_index,dropout_risk,is_anomaly
STU10009,SE501,Spring 2026,5,49.2,40.6,46.6,1.86,3,22,Female,High,19.0,Moderate,High School,11,20.9,3,5,77.2,50,30,59.4,5,61.64,Medium,False
STU10023,SE501,Spring 2026,5,74.0,76.1,74.6,2.98,4,22,Male,Medium,4.9,Moderate,Bachelors,11,12.5,3,11,84.1,45,31,68.3,2,67.47,Medium,False
STU10032,DB401,Spring 2026,5,63.9,72.2,66.4,2.66,4,22,Male,Low,0.5,High-Speed,Masters,10,15.9,4,7,97.5,40,26,63.8,4,66.4,Medium,False
STU10040,AI301,Spring 2026,5,43.6,42.3,43.2,1.73,4,25,Male,Low,0.8,High-Speed,Masters,9,10.9,1,2,61.8,40,26,65.5,5,58.61,Medium,False
STU10070,AI301,Spring 2026,5,55.2,52.3,54.3,2.17,4,19,Female,Medium,32.5,Limited,High School,11,3.6,1,8,65.2,40,22,55.8,1,57.44,Medium,False
STU10072,DS201,Spring 2026,5,58.0,55.7,57.3,2.29,3,23,Male,Low,1.1,High-Speed,Bachelors,11,7.7,3,6,48.6,45,31,69.6,2,61.02,Medium,False
STU10075,CS101,Spring 2026,5,49.9,50.7,50.1,2.0,3,19,Female,Low,4.0,Moderate,High School,14,10.8,2,5,58.3,50,37,73.7,5,69.51,Medium,False
STU10081,AI301,Spring 2026,5,42.5,46.7,43.8,1.75,3,19,Female,Medium,23.4,High-Speed,Bachelors,8,14.5,5,10,60.4,40,27,66.9,4,57.53,Medium,False
STU10091,DB401,Spring 2026,5,65.3,72.7,67.5,2.7,3,21,Female,High,9.7,Moderate,Doctorate,10,9.3,2,2,68.6,45,27,58.9,5,58.17,Medium,False
STU10094,DB401,Spring 2026,5,57.9,59.1,58.3,2.33,4,25,Female,Low,0.7,Moderate,Bachelors,15,19.0,4,8,74.8,50,34,69.0,5,71.96,Medium,False
STU10106,DB401,Spring 2026,5,49.5,50.2,49.7,1.99,3,22,Male,Low,8.8,High-Speed,Masters,10,10.7,6,11,68.2,40,25,62.0,1,59.64,Medium,False
STU10118,SE501,Spring 2026,5,57.2,49.7,55.0,2.2,4,19,Female,High,1.6,Limited,Bachelors,8,5.6,7,10,65.7,50,30,60.9,2,55.59,Medium,False
STU10120,DB401,Spring 2026,5,72.0,60.7,68.6,2.74,4,24,Female,High,12.6,High-Speed,High School,8,18.0,0,12,85.0,45,27,60.4,2,59.2,Medium,False
STU10123,SE501,Spring 2026,5,53.8,57.0,54.8,2.19,4,24,Male,Medium,2.1,Limited,High School,10,16.2,4,12,75.8,45,23,52.1,3,56.21,Medium,False
STU10143,DB401,Spring 2026,5,54.4,63.8,57.2,2.29,4,23,Male,Low,45.8,High-Speed,High School,8,9.4,6,3,80.4,45,27,59.2,2,57.68,Medium,False
STU10157,SE501,Spring 2026,5,57.6,50.7,55.5,2.22,3,18,Female,Medium,0.1,Limited,High School,10,21.7,1,6,76.5,40,28,70.4,3,65.5,Medium,False
STU10167,DS201,Spring 2026,5,60.6,58.5,60.0,2.4,4,19,Male,Medium,13.5,High-Speed,Masters,8,11.9,5,7,97.5,45,21,47.5,3,55.25,Medium,False
STU10173,AI301,Spring 2026,5,56.2,56.7,56.3,2.25,4,19,Male,Medium,0.5,High-Speed,Bachelors,10,10.3,5,4,77.7,50,36,72.3,3,66.69,Medium,False
STU10181,SE501,Spring 2026,5,65.2,75.4,68.3,2.73,4,18,Male,Medium,13.1,Moderate,High School,12,15.6,4,2,88.4,40,28,70.9,4,71.13,Medium,False
STU10189,SE501,Spring 2026,5,42.7,37.9,41.3,1.65,4,24,Male,High,5.3,Moderate,Bachelors,9,14.5,2,8,73.1,40,23,57.9,4,57.07,Medium,False
STU10192,SE501,Spring 2026,5,59.5,59.0,59.3,2.37,3,22,Female,Low,6.9,Limited,Bachelors,15,21.7,6,12,68.1,40,26,64.9,4,68.57,Medium,False
STU10193,SE501,Spring 2026,5,69.4,63.2,67.5,2.7,4,19,Female,Medium,16.0,High-Speed,Masters,8,13.2,2,11,69.3,45,29,63.5,0,57.61,Medium,False
STU10218,DB401,Spring 2026,5,58.7,64.3,60.4,2.42,4,20,Female,Medium,11.8,High-Speed,High School,14,19.8,1,13,68.3,45,34,75.7,2,72.51,Medium,False
STU10234,SE501,Spring 2026,5,48.3,52.6,49.6,1.98,3,20,Male,Low,2.8,Moderate,Bachelors,10,20.4,1,9,41.2,50,32,63.3,3,54.89,Medium,False
STU10235,SE501,Spring 2026,5,55.1,55.9,55.3,2.21,3,19,Female,Medium,6.0,High-Speed,High School,9,5.5,7,14,52.7,45,29,64.3,0,56.19,Medium,False
STU10239,DB401,Spring 2026,5,53.4,52.9,53.3,2.13,3,25,Male,Low,13.1,High-Speed,Masters,8,9.7,3,3,77.0,45,24,52.6,1,53.7,Medium,False
STU10243,CS101,Spring 2026,5,42.4,34.8,40.1,1.6,3,19,Male,Medium,2.0,Moderate,Bachelors,11,4.6,3,4,81.7,50,35,70.0,0,67.84,Medium,True
STU10254,DS201,Spring 2026,5,40.0,42.2,40.6,1.62,4,22,Male,Low,10.2,High-Speed,Doctorate,10,18.7,3,6,72.2,50,37,74.2,2,66.54,Medium,True
STU10279,AI301,Spring 2026,5,50.9,43.6,48.7,1.95,4,19,Female,Medium,6.2,Moderate,Bachelors,6,12.7,6,14,65.0,50,28,55.1,5,49.55,Medium,False
STU10291,CS101,Spring 2026,5,52.6,53.6,52.9,2.12,3,22,Male,Low,1.8,High-Speed,Bachelors,11,19.2,4,5,79.8,50,26,51.4,5,58.16,Medium,False
STU10297,DS201,Spring 2026,5,64.6,69.9,66.2,2.65,3,18,Male,Low,6.2,Moderate,High School,15,12.9,2,13,68.3,40,25,62.0,3,67.16,Medium,False
STU10328,AI301,Spring 2026,5,44.8,48.0,45.7,1.83,4,22,Male,Medium,4.5,High-Speed,High School,13,18.3,4,12,72.3,45,27,59.5,1,63.71,Medium,False
STU10340,DB401,Spring 2026,5,49.0,48.7,48.9,1.96,4,21,Female,Medium,18.3,Moderate,Doctorate,13,5.8,4,7,67.2,50,37,73.8,2,69.84,Medium,False
STU10356,DB401,Spring 2026,5,48.8,40.2,46.2,1.85,3,21,Male,Medium,15.3,High-Speed,Bachelors,17,15.4,2,11,69.0,45,30,66.6,2,72.6,Medium,False
STU10358,CS101,Spring 2026,5,51.5,46.9,50.1,2.0,4,23,Female,Low,6.0,High-Speed,High School,8,16.4,4,9,72.3,40,27,68.7,3,60.81,Medium,False
STU10371,DS201,Spring 2026,5,35.6,30.0,33.9,1.36,4,22,Male,Low,20.3,Limited,Bachelors,10,15.0,5,8,69.3,45,25,55.0,3,56.36,Medium,True
STU10380,CS101,Spring 2026,5,64.7,72.0,66.9,2.68,4,18,Male,Low,13.4,High-Speed,Bachelors,11,10.5,4,11,75.6,45,27,60.3,0,61.77,Medium,False
STU10392,AI301,Spring 2026,5,56.1,56.3,56.2,2.25,4,23,Male,High,1.7,Limited,Bachelors,12,17.1,5,3,81.6,50,35,69.6,1,69.12,Medium,False
STU10399,DS201,Spring 2026,5,52.5,62.0,55.3,2.21,3,19,Female,High,0.1,High-Speed,Bachelors,14,13.2,2,2,58.1,40,29,73.4,6,69.32,Medium,False
STU10410,DB401,Spring 2026,5,54.5,56.9,55.2,2.21,3,21,Male,High,7.6,High-Speed,Bachelors,10,5.7,5,14,70.8,45,31,69.7,4,64.01,Medium,False
