student_id,course_id,term,term_index,midterm_score,assignment_score,final_score,gpa,credits
STU10000,DS201,Spring 2025,3,53.1,49.3,52.0,2.08,3
STU10001,SE501,Spring 2025,3,73.6,71.8,73.1,2.92,4
STU10002,AI301,Fall 2024,2,80.0,70.8,77.2,3.09,3
STU10003,SE501,Fall 2024,2,63.1,61.5,62.6,2.5,4
STU10004,CS101,Spring 2024,1,47.3,45.2,46.7,1.87,3
STU10005,CS101,Fall 2025,4,44.1,44.9,44.3,1.77,3
STU10006,AI301,Fall 2023,0,43.5,49.8,45.4,1.82,4
STU10007,AI301,Fall 2023,0,58.1,57.1,57.8,2.31,3
STU10008,SE501,Spring 2024,1,52.5,47.6,51.0,2.04,3
STU10009,SE501,Spring 2026,5,49.2,40.6,46.6,1.86,3
STU10010,AI301,Fall 2023,0,53.6,56.4,54.4,2.18,3
STU10011,CS101,Spring 2024,1,52.4,53.5,52.7,2.11,4
STU10012,DB401,Fall 2024,2,54.3,53.8,54.2,2.17,4
STU10013,DB401,Spring 2025,3,50.9,51.7,51.1,2.04,4
STU10014,DS201,Fall 2024,2,35.4,39.6,36.7,1.47,3
STU10015,CS101,Fall 2023,0,75.3,76.9,75.8,3.03,3
STU10016,CS101,Fall 2025,4,58.4,59.9,58.8,2.35,4
STU10017,CS101,Spring 2026,5,58.9,66.0,61.0,2.44,3
STU10018,DS201,Fall 2023,0,67.4,67.7,67.5,2.7,4
STU10019,AI301,Fall 2025,4,51.1,47.7,50.1,2.0,3
STU10020,SE501,Fall 2023,0,72.2,78.7,74.1,2.96,3
STU10021,DS201,Fall 2023,0,48.9,46.1,48.1,1.92,3
STU10022,AI301,Spring 2024,1,40.7,34.6,38.9,1.56,3
STU10023,SE501,Spring 2026,5,74.0,76.1,74.6,2.98,4
STU10024,AI301,Fall 2023,0,53.2,56.4,54.2,2.17,3
STU10025,AI301,Spring 2026,5,79.3,75.3,78.1,3.12,4
STU10026,DB401,Fall 2023,0,71.0,75.2,72.3,2.89,3
STU10027,CS101,Fall 2025,4,68.7,68.7,68.7,2.75,3
STU10028,DB401,Fall 2024,2,44.0,41.7,43.3,1.73,4
STU10029,DS201,Spring 2024,1,65.0,65.2,65.1,2.6,4
STU10030,SE501,Fall 2024,2,82.8,79.7,81.9,3.28,4
STU10031,DB401,Fall 2024,2,40.2,40.1,40.2,1.61,4
STU10032,DB401,Spring 2026,5,63.9,72.2,66.4,2.66,4
STU10033,AI301,Fall 2023,0,44.5,42.9,44.0,1.76,3
STU10034,DB401,Fall 2025,4,55.6,53.8,55.1,2.2,4
STU10035,DS201,Spring 2026,5,60.9,56.6,59.6,2.38,3
STU10036,CS101,Spring 2025,3,68.4,66.2,67.8,2.71,4
STU10037,DB401,Fall 2024,2,46.0,39.7,44.1,1.76,4
STU10038,SE501,Fall 2023,0,64.5,62.2,63.8,2.55,4
STU10039,SE501,Fall 2024,2,55.4,51.9,54.3,2.17,3
STU10040,AI301,Spring 2026,5,43.6,42.3,43.2,1.73,4
STU10041,DB401,Fall 2024,2,59.6,54.4,58.0,2.32,3
STU10042,DS201,Fall 2023,0,50.3,62.6,54.0,2.16,4
STU10043,SE501,Fall 2025,4,53.1,49.0,51.9,2.08,3
STU10044,DS201,Fall 2024,2,68.4,66.4,67.8,2.71,3
STU10045,DB401,Spring 2026,5,46.5,47.8,46.9,1.88,4
STU10046,CS101,Fall 2024,2,65.4,67.4,66.0,2.64,4
STU10047,DB401,Fall 2024,2,45.2,48.8,46.3,1.85,4
STU10048,SE501,Fall 2023,0,39.8,38.5,39.4,1.58,4
STU10049,SE501,Spring 2025,3,71.4,67.2,70.1,2.8,4
STU10050,AI301,Spring 2026,5,66.1,73.5,68.3,2.73,4
STU10051,DB401,Spring 2025,3,40.0,35.6,38.7,1.55,4
STU10052,DB401,Spring 2024,1,52.9,51.8,52.6,2.1,4
STU10053,SE501,Spring 2024,1,48.2,48.5,48.3,1.93,3
STU10054,AI301,Spring 2025,3,56.4,59.5,57.3,2.29,4
STU10055,DB401,Fall 2025,4,52.7,54.9,53.4,2.14,4
STU10056,CS101,Fall 2024,2,50.8,47.9,49.9,2.0,3
STU10057,AI301,Spring 2025,3,67.0,68.1,67.3,2.69,4
STU10058,CS101,Fall 2025,4,56.7,48.9,54.4,2.18,4
STU10059,DS201,Fall 2024,2,41.4,52.4,44.7,1.79,4
STU10060,DB401,Spring 2026,5,35.5,31.5,34.3,1.37,4
STU10061,DB401,Fall 2025,4,50.0,54.5,51.4,2.06,4
STU10062,CS101,Spring 2025,3,78.8,73.9,77.3,3.09,4
STU10063,AI301,Spring 2026,5,57.1,60.3,58.1,2.32,3
STU10064,DS201,Fall 2025,4,70.1,65.1,68.6,2.74,3
STU10065,DB401,Fall 2025,4,44.1,48.6,45.5,1.82,3
STU10066,DS201,Spring 2025,3,59.1,68.6,61.9,2.48,4
STU10067,CS101,Fall 2024,2,60.3,60.7,60.4,2.42,4
STU10068,SE501,Spring 2024,1,78.5,81.3,79.3,3.17,4
STU10069,AI301,Fall 2024,2,51.3,56.2,52.8,2.11,4
STU10070,AI301,Spring 2026,5,55.2,52.3,54.3,2.17,4
STU10071,AI301,Fall 2023,0,45.0,49.8,46.4,1.86,4
STU10072,DS201,Spring 2026,5,58.0,55.7,57.3,2.29,3
STU10073,DB401,Spring 2026,5,69.3,80.1,72.5,2.9,4
STU10074,AI301,Spring 2024,1,53.4,47.3,51.6,2.06,4
STU10075,CS101,Spring 2026,5,49.9,50.7,50.1,2.0,3
STU10076,DB401,Spring 2024,1,51.7,46.6,50.2,2.01,4
STU10077,CS101,Spring 2024,1,50.9,56.9,52.7,2.11,3
STU10078,DB401,Fall 2023,0,66.6,79.0,70.3,2.81,4
STU10079,DS201,Fall 2023,0,62.1,63.5,62.5,2.5,3
STU10080,SE501,Fall 2023,0,52.1,61.8,55.0,2.2,3
STU10081,AI301,Spring 2026,5,42.5,46.7,43.8,1.75,3
STU10082,CS101,Spring 2024,1,59.6,67.9,62.1,2.48,3
STU10083,CS101,Spring 2025,3,60.5,64.6,61.7,2.47,4
STU10084,DS201,Spring 2025,3,51.9,60.7,54.6,2.18,4
STU10085,DS201,Fall 2024,2,77.5,85.6,79.9,3.2,3
STU10086,SE501,Fall 2023,0,70.6,68.2,69.9,2.8,3
STU10087,CS101,Fall 2023,0,62.7,60.4,62.0,2.48,4
STU10088,DB401,Spring 2024,1,58.3,57.3,58.0,2.32,3
STU10089,SE501,Spring 2025,3,49.3,46.2,48.4,1.94,4
STU10090,CS101,Fall 2024,2,51.3,54.1,52.1,2.08,3
STU10091,DB401,Spring 2026,5,65.3,72.7,67.5,2.7,3
STU10092,SE501,Spring 2025,3,39.3,41.9,40.1,1.6,3
STU10093,AI301,Spring 2026,5,61.3,59.8,60.9,2.44,4
STU10094,DB401,Spring 2026,5,57.9,59.1,58.3,2.33,4
STU10095,CS101,Fall 2023,0,66.4,56.7,63.5,2.54,3
STU10096,SE501,Fall 2025,4,60.6,55.0,58.9,2.36,4
STU10097,AI301,Fall 2025,4,67.8,66.3,67.4,2.7,4
STU10098,DS201,Fall 2025,4,49.5,52.1,50.3,2.01,3
STU10099,DS201,Fall 2024,2,27.1,30.0,28.0,1.12,4
STU10100,SE501,Fall 2025,4,55.0,56.0,55.3,2.21,3
STU10101,AI301,Spring 2024,1,52.8,51.6,52.4,2.1,4
STU10102,SE501,Fall 2024,2,53.2,51.3,52.6,2.1,4
STU10103,AI301,Fall 2025,4,46.9,41.2,45.2,1.81,4
STU10104,AI301,Fall 2025,4,43.5,45.8,44.2,1.77,4
STU10105,DS201,Fall 2023,0,57.4,55.2,56.7,2.27,3
STU10106,DB401,Spring 2026,5,49.5,50.2,49.7,1.99,3
STU10107,SE501,Fall 2023,0,57.1,53.9,56.1,2.24,4
STU10108,AI301,Fall 2024,2,52.3,55.3,53.2,2.13,3
STU10109,CS101,Fall 2024,2,56.3,56.9,56.5,2.26,3
STU10110,DS201,Fall 2024,2,63.6,65.0,64.0,2.56,3
