student_id,total_classes,classes_attended,attendance_rate,tardy_count
STU10000,45,37,82.8,2
STU10001,50,44,88.4,6
STU10002,50,36,72.4,5
STU10003,40,23,56.9,2
STU10004,50,35,70.2,4
STU10005,45,26,58.6,2
STU10006,40,27,68.4,4
STU10007,40,25,62.2,4
STU10008,40,30,75.2,6
STU10009,50,30,59.4,5
STU10010,45,28,62.6,1
STU10011,45,45,99.8,5
STU10012,40,30,74.1,4
STU10013,50,40,79.8,5
STU10014,45,24,53.9,4
STU10015,50,35,70.5,0
STU10016,40,23,57.3,3
STU10017,45,30,66.0,3
STU10018,45,29,64.0,4
STU10019,50,32,64.7,1
STU10020,50,38,76.3,2
STU10021,40,30,75.1,1
STU10022,40,23,57.0,4
STU10023,45,31,68.3,2
STU10024,45,34,75.0,6
STU10025,40,29,71.7,4
STU10026,45,33,74.1,5
STU10027,45,30,65.7,0
STU10028,50,24,48.3,1
STU10029,45,28,62.8,4
STU10030,50,38,76.6,4
STU10031,40,24,60.5,1
STU10032,40,26,63.8,4
STU10033,40,25,63.1,5
STU10034,50,37,74.2,5
STU10035,40,32,80.0,4
STU10036,50,32,65.0,3
STU10037,45,25,56.6,1
STU10038,50,42,84.2,4
STU10039,45,29,65.5,4
STU10040,40,26,65.5,5
STU10041,45,33,74.1,2
STU10042,45,26,57.1,1
STU10043,40,20,50.8,1
STU10044,45,26,57.9,1
STU10045,45,26,57.8,2
STU10046,50,36,72.4,4
STU10047,45,22,49.1,4
STU10048,40,12,30.0,5
STU10049,50,47,94.6,0
STU10050,45,33,74.0,3
STU10051,40,19,47.1,5
STU10052,50,37,73.5,2
STU10053,50,40,81.0,0
STU10054,45,27,60.1,4
STU10055,50,32,64.5,4
STU10056,50,30,60.1,4
STU10057,40,28,68.8,3
STU10058,40,28,70.8,1
STU10059,50,29,58.4,5
STU10060,50,33,65.7,5
STU10061,50,42,84.7,3
STU10062,50,33,66.2,3
STU10063,50,37,73.4,3
STU10064,40,27,66.8,2
STU10065,40,15,38.3,2
STU10066,50,30,59.7,5
STU10067,45,32,71.6,1
STU10068,45,42,93.3,1
STU10069,45,23,51.8,2
STU10070,40,22,55.8,1
STU10071,50,23,45.5,4
STU10072,45,31,69.6,2
STU10073,45,35,77.5,3
STU10074,45,25,56.4,6
STU10075,50,37,73.7,5
STU10076,50,38,75.0,3
STU10077,40,19,48.4,8
STU10078,50,44,87.9,4
STU10079,40,36,89.6,3
STU10080,45,27,60.8,2
STU10081,40,27,66.9,4
STU10082,40,26,64.2,2
STU10083,50,38,76.0,2
STU10084,45,21,46.1,4
STU10085,40,21,52.1,2
STU10086,45,35,77.1,3
STU10087,45,28,61.4,1
STU10088,50,31,62.2,4
STU10089,45,28,61.5,3
STU10090,40,28,69.1,3
STU10091,45,27,58.9,5
STU10092,45,24,52.6,3
STU10093,45,39,86.1,4
STU10094,50,34,69.0,5
STU10095,50,32,64.9,2
STU10096,45,32,70.9,3
STU10097,45,37,81.5,2
STU10098,45,26,57.3,3
STU10099,45,26,57.3,6
STU10100,40,34,83.9,5
STU10101,45,25,55.7,2
STU10102,45,24,54.0,1
STU10103,40,28,68.9,6
STU10104,45,33,72.6,7
STU10105,50,32,64.5,6
STU10106,40,25,62.0,1
STU10107,50,30,60.1,1
STU10108,50,37,74.4,2
STU10109,45,32,70.7,5
STU10110,50,27,54.5,0
STU10111,40,26,65.6,2
STU10112,50,30,60.5,7
STU10113,40,29,72.6,1
STU10114,50,37,73.3,4
STU10115,40,25,62.9,6
STU10116,45,17,38.1,6
STU10117,45,35,77.7,1
STU10118,50,30,60.9,2
STU10119,50,41,81.8,5
STU10120,45,27,60.4,2
STU10121,45,31,68.4,2
STU10122,40,29,73.7,3
STU10123,45,23,52.1,3
STU10124,45,32,70.4,3
STU10125,40,24,59.0,3
STU10126,45,27,60.0,2
STU10127,40,24,59.2,4
STU10128,45,33,72.3,3
STU10129,40,19,46.8,3
STU10130,45,30,66.7,1
STU10131,45,29,64.6,3
STU10132,50,17,33.6,4
STU10133,40,24,59.9,1
STU10134,45,30,67.2,7
STU10135,50,24,47.8,6
STU10136,50,29,58.2,3
STU10137,40,25,62.9,2
STU10138,50,38,76.2,2
STU10139,45,33,74.2,1
STU10140,50,37,73.4,6
STU10141,40,32,79.3,4
STU10142,40,30,74.9,4
STU10143,45,27,59.2,2
STU10144,45,32,70.4,2
STU10145,45,32,71.7,4
STU10146,50,30,60.7,3
STU10147,45,28,62.1,2
STU10148,45,37,83.2,2
STU10149,45,25,55.7,4
STU10150,40,22,53.9,2
STU10151,45,25,55.0,6
STU10152,50,26,53.0,3
STU10153,40,19,47.5,7
STU10154,45,33,73.3,2
STU10155,45,15,33.2,5
STU10156,40,27,66.4,5
STU10157,40,28,70.4,3
STU10158,40,30,74.1,3
STU10159,50,30,59.7,2
STU10160,45,24,53.4,2
STU10161,45,22,50.0,3
STU10162,45,21,45.9,0
STU10163,40,32,78.9,4
STU10164,45,33,72.4,2
STU10165,45,36,80.8,3
STU10166,40,30,75.1,7
STU10167,45,21,47.5,3
STU10168,50,44,88.4,2
STU10169,45,26,57.2,4
STU10170,50,45,89.3,2
STU10171,40,30,75.4,4
STU10172,45,35,76.9,0
STU10173,50,36,72.3,3
STU10174,45,34,75.3,2
STU10175,40,29,72.2,3
STU10176,40,23,58.1,4
STU10177,45,34,74.6,2
STU10178,40,30,76.1,1
STU10179,50,35,69.9,5
STU10180,40,27,67.2,3
STU10181,40,28,70.9,4
STU10182,50,37,74.6,3
STU10183,45,33,74.4,3
STU10184,40,18,46.0,3
STU10185,45,33,74.1,2
STU10186,50,33,66.5,4
STU10187,45,29,63.5,3
STU10188,40,28,70.3,1
STU10189,40,23,57.9,4
STU10190,40,28,70.3,2
STU10191,50,40,80.6,4
STU10192,40,26,64.9,4
STU10193,45,29,63.5,0
STU10194,40,19,48.1,3
STU10195,50,37,74.6,1
STU10196,45,26,57.9,2
STU10197,45,18,39.3,2
STU10198,50,35,70.6,2
STU10199,45,37,82.5,2
STU10200,40,16,40.6,4
STU10201,45,30,67.3,3
STU10202,50,33,66.5,3
STU10203,45,25,56.5,2
STU10204,45,30,66.1,7
STU10205,50,29,58.2,3
STU10206,45,30,66.4,3
STU10207,50,42,83.1,1
STU10208,40,18,46.1,1
STU10209,50,34,68.3,1
STU10210,45,30,66.2,6
STU10211,45,33,73.3,2
STU10212,40,34,85.3,3
STU10213,45,23,51.0,1
STU10214,45,28,61.6,4
STU10215,45,31,69.8,3
STU10216,45,32,71.0,3
STU10217,50,31,61.5,3
STU10218,45,34,75.7,2
STU10219,50,27,54.8,2
STU10220,45,30,65.6,2
STU10221,45,28,61.6,1
STU10222,45,27,59.7,3
STU10223,40,29,72.1,4
STU10224,50,33,65.5,1
STU10225,40,26,66.0,7
STU10226,45,25,56.5,2
STU10227,40,29,72.0,3
STU10228,40,17,43.1,5
STU10229,40,29,73.2,1
STU10230,50,49,97.2,6
STU10231,45,34,75.9,4
STU10232,45,23,52.0,1
STU10233,50,27,54.2,3
STU10234,50,32,63.3,3
STU10235,45,29,64.3,0
STU10236,45,25,55.3,3
STU10237,40,20,50.3,4
STU10238,50,44,89.0,2
STU10239,45,24,52.6,1
STU10240,45,18,40.8,1
STU10241,40,23,56.3,2
STU10242,45,25,54.6,1
STU10243,50,35,70.0,0
STU10244,50,21,42.9,1
STU10245,50,32,64.5,4
STU10246,40,23,56.8,2
STU10247,40,29,72.7,3
STU10248,50,37,74.3,3
STU10249,45,34,76.3,4
STU10250,45,32,71.2,0
STU10251,45,33,72.7,2
STU10252,50,33,66.1,3
STU10253,50,29,58.8,4
STU10254,50,37,74.2,2
STU10255,40,22,54.6,0
STU10256,40,28,70.0,2
STU10257,50,18,35.6,3
STU10258,50,32,63.3,3
STU10259,45,35,76.9,5
STU10260,40,32,81.0,7
STU10261,45,31,68.7,3
STU10262,50,26,52.3,3
STU10263,50,30,59.8,2
STU10264,40,21,52.2,1
STU10265,40,18,45.3,4
STU10266,45,35,77.2,3
STU10267,45,29,64.5,2
STU10268,40,33,81.7,3
STU10269,50,42,83.3,2
STU10270,40,26,63.8,2
STU10271,45,22,48.2,1
STU10272,40,30,74.9,3
STU10273,45,30,67.3,1
STU10274,45,29,64.1,2
STU10275,45,28,62.5,3
STU10276,50,32,64.9,2
STU10277,45,37,82.1,2
STU10278,50,39,77.9,1
STU10279,50,28,55.1,5
STU10280,40,28,70.7,6
STU10281,50,36,71.8,6
STU10282,50,40,79.6,3
STU10283,40,18,45.4,0
STU10284,40,24,59.7,3
STU10285,45,29,64.8,3
STU10286,50,36,71.8,8
STU10287,45,16,34.8,3
STU10288,50,25,49.7,4
STU10289,50,24,47.1,2
STU10290,45,32,70.8,1
STU10291,50,26,51.4,5
STU10292,50,22,44.5,1
STU10293,40,26,65.1,2
STU10294,50,22,44.9,2
STU10295,45,29,64.9,3
STU10296,50,23,45.7,2
STU10297,40,25,62.0,3
STU10298,40,38,93.8,4
STU10299,40,28,69.9,1
STU10300,45,35,76.9,1
STU10301,40,28,71.0,2
STU10302,50,32,63.6,3
STU10303,50,30,59.7,4
STU10304,50,29,58.7,2
STU10305,50,33,65.6,6
STU10306,45,28,62.3,2
STU10307,45,23,51.3,2
STU10308,50,26,51.5,1
STU10309,50,38,75.9,4
STU10310,40,32,79.7,3
STU10311,45,23,51.3,3
STU10312,50,21,41.4,4
STU10313,40,27,68.7,3
STU10314,45,36,80.6,3
STU10315,50,40,79.4,3
STU10316,40,23,56.5,3
STU10317,45,31,68.4,3
STU10318,45,30,66.2,3
STU10319,45,34,75.8,4
STU10320,50,39,78.8,2
STU10321,45,32,71.5,4
STU10322,50,38,76.0,1
STU10323,50,34,67.1,3
STU10324,45,28,62.7,3
STU10325,50,30,59.9,4
STU10326,50,25,49.6,5
STU10327,40,27,66.3,2
STU10328,45,27,59.5,1
STU10329,40,31,77.3,3
STU10330,40,30,74.8,4
STU10331,45,28,63.0,1
STU10332,50,34,68.7,3
STU10333,40,37,93.5,1
STU10334,50,33,65.8,2
STU10335,50,37,73.5,2
STU10336,40,25,62.7,5
STU10337,50,32,63.7,3
STU10338,45,25,55.5,4
STU10339,40,24,60.6,3
STU10340,50,37,73.8,2
STU10341,40,35,87.6,1
STU10342,40,25,61.6,0
STU10343,45,38,85.2,1
STU10344,50,29,58.5,2
STU10345,45,33,72.4,1
STU10346,40,37,93.1,4
STU10347,50,29,58.7,1
STU10348,40,14,34.4,1
STU10349,50,36,71.6,2
STU10350,45,17,36.9,2
STU10351,40,25,62.8,3
STU10352,50,34,69.0,2
STU10353,45,35,77.7,1
STU10354,45,24,53.3,2
STU10355,40,26,65.6,5
STU10356,45,30,66.6,2
STU10357,50,23,46.7,1
STU10358,40,27,68.7,3
STU10359,40,23,57.9,3
STU10360,50,27,53.5,5
STU10361,45,27,60.9,2
STU10362,50,42,84.9,2
STU10363,50,34,67.0,0
STU10364,40,29,73.2,3
STU10365,40,25,62.9,2
STU10366,50,35,70.6,3
