student_id,lms_logins_per_week,video_watch_hours,forum_posts,quiz_attempts,avg_quiz_score
STU10000,23,22.5,4,8,66.8
STU10001,17,12.6,6,12,77.0
STU10002,12,14.9,6,2,83.6
STU10003,12,18.9,4,11,76.8
STU10004,11,17.6,5,2,69.4
STU10005,6,18.8,3,13,67.8
STU10006,11,19.5,0,9,71.6
STU10007,9,6.3,5,6,76.9
STU10008,13,7.9,8,7,46.4
STU10009,11,20.9,3,5,77.2
STU10010,9,11.1,4,5,82.4
STU10011,20,11.6,4,11,69.2
STU10012,17,8.7,2,14,63.9
STU10013,19,13.0,3,10,61.3
STU10014,11,13.3,2,9,48.4
STU10015,14,10.3,1,12,72.1
STU10016,12,9.7,5,14,75.3
STU10017,10,16.6,2,13,81.8
STU10018,13,11.0,4,5,100.0
STU10019,14,12.0,2,8,73.1
STU10020,15,4.1,4,9,84.7
STU10021,14,24.7,4,8,52.6
STU10022,14,19.7,3,6,66.4
STU10023,11,12.5,3,11,84.1
STU10024,13,10.5,5,2,73.7
STU10025,11,15.1,2,7,85.5
STU10026,12,14.9,3,9,85.2
STU10027,11,8.6,5,12,92.5
STU10028,12,2.2,6,7,80.9
STU10029,9,12.4,5,9,70.3
STU10030,14,7.2,5,7,82.6
STU10031,12,15.9,5,3,60.2
STU10032,10,15.9,4,7,97.5
STU10033,10,10.1,2,10,66.2
STU10034,15,12.3,2,14,71.8
STU10035,21,23.8,0,3,75.6
STU10036,9,18.9,3,4,80.2
STU10037,9,12.7,7,10,86.8
STU10038,18,26.5,4,14,62.6
STU10039,12,9.0,5,8,57.8
STU10040,9,10.9,1,2,61.8
STU10041,11,14.4,3,12,74.3
STU10042,10,7.3,5,14,80.0
STU10043,8,24.0,2,5,79.4
STU10044,14,15.9,3,5,76.1
STU10045,6,11.1,7,11,75.8
STU10046,13,17.2,5,6,85.2
STU10047,11,15.7,5,8,82.2
STU10048,8,13.5,1,6,55.0
STU10049,20,9.0,9,11,77.5
STU10050,12,7.8,6,7,79.3
STU10051,4,25.9,3,10,63.4
STU10052,11,8.2,5,3,81.6
STU10053,15,23.5,4,7,71.4
STU10054,7,10.8,6,14,80.8
STU10055,11,19.0,4,7,56.5
STU10056,12,17.3,2,13,59.1
STU10057,12,18.3,5,2,84.1
STU10058,11,18.7,8,7,81.7
STU10059,5,6.9,6,8,46.9
STU10060,11,11.6,3,14,69.9
STU10061,19,8.2,3,8,43.1
STU10062,10,15.9,3,4,96.0
STU10063,11,8.4,4,9,65.6
STU10064,9,5.1,2,8,68.5
STU10065,4,13.8,9,5,63.3
STU10066,9,4.0,4,5,68.0
STU10067,14,16.3,2,11,65.0
STU10068,18,8.7,3,14,86.3
STU10069,8,10.8,3,14,70.0
STU10070,11,3.6,1,8,65.2
STU10071,9,23.3,6,3,77.2
STU10072,11,7.7,3,6,48.6
STU10073,14,13.2,3,14,64.5
STU10074,9,6.0,5,7,69.2
STU10075,14,10.8,2,5,58.3
STU10076,13,23.8,5,2,78.5
STU10077,10,16.5,6,12,71.2
STU10078,18,11.4,7,12,78.9
STU10079,16,14.8,6,2,78.6
STU10080,14,12.2,3,4,89.2
STU10081,8,14.5,5,10,60.4
STU10082,12,18.7,4,14,83.5
STU10083,14,13.3,3,3,65.6
STU10084,8,16.1,3,6,73.3
STU10085,13,16.2,5,8,77.5
STU10086,16,13.4,4,3,84.9
STU10087,7,11.3,3,2,73.0
STU10088,12,12.4,3,8,83.4
STU10089,11,18.5,2,6,89.5
STU10090,16,18.9,3,8,67.6
STU10091,10,9.3,2,2,68.6
STU10092,8,13.7,2,7,62.2
STU10093,16,11.2,2,7,65.6
STU10094,15,19.0,4,8,74.8
STU10095,10,12.6,1,13,70.3
STU10096,11,26.0,6,9,69.8
STU10097,17,16.1,6,10,75.8
STU10098,6,20.9,8,14,69.4
STU10099,8,9.9,3,11,55.1
STU10100,16,15.1,5,13,61.5
STU10101,7,18.1,3,14,76.7
STU10102,8,9.8,5,6,75.6
STU10103,10,15.1,4,14,61.9
STU10104,16,20.3,5,5,64.4
STU10105,13,13.4,5,6,63.7
STU10106,10,10.7,6,11,68.2
STU10107,15,24.0,3,6,82.7
STU10108,10,9.1,3,12,91.1
STU10109,13,15.8,4,10,74.9
STU10110,11,11.5,4,8,90.2
STU10111,12,10.3,1,12,67.7
STU10112,8,18.7,0,3,76.3
STU10113,13,14.0,8,3,69.3
STU10114,14,17.0,5,2,80.2
STU10115,13,3.7,5,3,82.2
STU10116,5,17.5,3,3,65.3
STU10117,15,11.4,1,6,85.2
STU10118,8,5.6,7,10,65.7
STU10119,16,24.4,3,8,58.6
STU10120,8,18.0,0,12,85.0
STU10121,11,16.1,7,14,76.0
STU10122,10,21.2,2,6,74.0
STU10123,10,16.2,4,12,75.8
STU10124,12,11.0,2,11,68.1
STU10125,11,14.1,5,5,79.3
STU10126,10,11.6,4,7,56.9
STU10127,14,12.5,3,5,95.2
STU10128,15,8.7,3,11,61.5
STU10129,8,10.1,2,8,58.5
STU10130,13,19.5,1,14,79.7
STU10131,15,16.7,5,4,60.6
STU10132,6,12.5,4,13,82.8
STU10133,6,9.9,5,14,80.7
STU10134,12,13.0,6,9,58.5
STU10135,14,6.6,7,13,70.8
STU10136,10,15.6,7,9,90.5
STU10137,8,19.7,2,4,66.2
STU10138,14,26.8,9,14,63.1
STU10139,13,9.5,6,8,70.6
STU10140,14,19.5,1,2,78.3
STU10141,15,11.5,6,6,66.3
STU10142,13,9.4,3,10,62.9
STU10143,8,9.4,6,3,80.4
STU10144,15,15.7,6,4,95.3
STU10145,11,10.3,3,5,72.0
STU10146,10,12.0,8,3,64.8
STU10147,7,12.8,11,11,68.9
STU10148,16,11.3,5,7,53.8
STU10149,8,10.9,3,6,71.5
STU10150,9,2.9,3,6,78.5
STU10151,9,15.4,7,9,64.5
STU10152,5,15.3,0,7,52.7
STU10153,6,11.0,4,2,82.9
STU10154,14,16.8,3,2,53.8
STU10155,5,22.0,7,11,69.4
STU10156,10,15.1,7,11,90.6
STU10157,10,21.7,1,6,76.5
STU10158,13,26.2,4,14,48.7
STU10159,11,27.7,7,13,57.7
STU10160,8,9.1,4,4,62.2
STU10161,8,9.1,3,13,58.2
STU10162,7,12.8,3,9,55.2
STU10163,15,15.6,4,12,59.5
STU10164,13,22.9,5,3,79.5
STU10165,13,18.1,3,6,82.5
STU10166,15,9.0,5,13,52.1
STU10167,8,11.9,5,7,97.5
STU10168,16,14.8,8,4,82.9
STU10169,11,7.6,7,9,93.3
STU10170,18,15.1,2,9,58.6
STU10171,12,9.1,5,7,57.1
STU10172,12,6.7,2,10,82.3
STU10173,10,10.3,5,4,77.7
STU10174,18,17.1,2,4,76.4
STU10175,15,17.0,5,9,68.1
STU10176,8,15.5,2,14,69.3
STU10177,14,20.0,2,13,82.3
STU10178,14,19.4,4,11,64.3
STU10179,12,16.0,5,5,53.8
STU10180,10,15.3,9,11,75.9
STU10181,12,15.6,4,2,88.4
STU10182,15,14.3,4,9,54.1
STU10183,13,4.1,0,9,71.6
STU10184,11,20.7,2,6,46.1
STU10185,13,17.0,4,12,85.8
STU10186,12,8.9,5,13,61.3
STU10187,13,22.1,5,13,72.2
STU10188,12,12.1,4,3,72.7
STU10189,9,14.5,2,8,73.1
STU10190,17,20.1,2,5,78.3
STU10191,13,16.1,5,9,90.7
STU10192,15,21.7,6,12,68.1
STU10193,8,13.2,2,11,69.3
STU10194,13,23.5,3,12,58.5
STU10195,11,11.1,3,7,50.5
STU10196,10,21.6,6,8,65.0
STU10197,9,3.7,7,11,77.2
STU10198,16,9.5,4,12,69.2
STU10199,16,16.5,7,3,87.7
STU10200,3,13.0,3,6,71.7
STU10201,15,14.6,3,5,89.2
STU10202,14,15.2,4,4,73.6
STU10203,10,9.0,5,8,65.4
STU10204,11,9.4,2,2,56.3
STU10205,10,16.2,5,14,44.0
STU10206,10,11.7,4,14,63.9
STU10207,17,21.7,2,7,80.3
STU10208,11,14.0,6,12,66.8
STU10209,18,18.6,6,4,60.5
STU10210,11,17.2,6,8,70.7
STU10211,10,12.0,2,10,71.0
STU10212,17,5.1,5,4,66.2
STU10213,9,20.9,3,2,78.5
STU10214,12,10.1,3,4,69.5
STU10215,14,13.0,3,10,90.4
STU10216,13,14.2,4,11,65.9
STU10217,11,14.7,0,5,63.6
STU10218,14,19.8,1,13,68.3
STU10219,10,15.0,3,12,81.7
STU10220,8,14.4,1,4,78.2
STU10221,9,20.1,2,8,65.5
STU10222,9,18.0,5,13,59.8
STU10223,14,11.3,1,8,56.0
STU10224,13,9.3,4,5,57.9
STU10225,10,10.9,4,10,90.7
STU10226,12,14.8,2,10,62.6
STU10227,16,8.8,3,3,62.4
STU10228,7,15.5,1,8,80.6
STU10229,13,14.4,4,9,72.0
STU10230,20,2.3,4,9,84.4
STU10231,15,8.0,3,11,87.5
STU10232,6,1.0,7,2,85.5
STU10233,9,13.3,5,3,66.0
STU10234,10,20.4,1,9,41.2
STU10235,9,5.5,7,14,52.7
STU10236,16,8.4,4,8,72.9
STU10237,5,14.2,5,8,85.2
STU10238,16,9.7,4,2,60.7
STU10239,8,9.7,3,3,77.0
STU10240,9,17.7,2,3,67.1
STU10241,13,12.5,4,4,91.5
STU10242,8,7.6,3,4,65.3
STU10243,11,4.6,3,4,81.7
STU10244,7,26.0,4,13,70.4
STU10245,11,20.6,0,5,75.6
STU10246,9,12.7,3,5,66.0
STU10247,16,15.4,2,10,76.1
STU10248,13,12.6,5,4,47.6
STU10249,14,17.6,1,4,56.4
STU10250,11,10.7,5,10,60.3
STU10251,14,12.3,5,5,79.4
STU10252,13,17.3,4,7,67.8
STU10253,7,22.3,2,11,45.1
STU10254,10,18.7,3,6,72.2
STU10255,11,21.2,3,12,53.8
STU10256,13,13.4,3,13,82.4
STU10257,7,11.9,3,11,78.1
STU10258,11,5.3,4,4,54.5
STU10259,15,15.4,2,9,76.8
STU10260,18,16.9,4,12,91.4
STU10261,10,13.5,3,6,55.8
STU10262,10,11.1,2,9,73.1
STU10263,12,21.2,5,13,74.9
STU10264,7,18.2,2,7,64.6
STU10265,9,21.6,3,10,75.7
STU10266,12,10.2,5,3,65.3
STU10267,9,11.5,5,8,55.5
STU10268,16,21.0,3,11,78.9
STU10269,16,14.8,4,5,65.4
STU10270,10,12.2,1,11,56.9
STU10271,9,12.5,5,8,77.3
STU10272,16,14.9,3,10,74.8
STU10273,8,20.0,0,11,90.4
STU10274,11,14.2,2,13,77.9
STU10275,17,19.0,4,2,67.0
STU10276,9,17.3,3,6,80.0
STU10277,15,10.6,4,7,59.9
STU10278,12,10.6,3,5,89.5
STU10279,6,12.7,6,14,65.0
STU10280,12,8.3,3,11,51.9
STU10281,12,12.4,9,7,64.8
STU10282,13,22.6,2,2,65.7
STU10283,11,14.8,4,9,83.1
STU10284,9,11.2,2,7,59.6
STU10285,9,24.6,1,11,66.2
STU10286,10,10.3,4,5,72.5
STU10287,7,10.2,12,6,72.0
STU10288,9,21.1,4,9,91.0
STU10289,8,18.3,4,14,79.6
STU10290,13,14.3,4,3,62.2
STU10291,11,19.2,4,5,79.8
STU10292,9,16.5,2,8,67.8
STU10293,13,9.1,4,3,93.1
STU10294,8,3.0,5,7,69.0
STU10295,9,12.2,6,12,81.1
STU10296,12,20.4,3,13,85.1
STU10297,15,12.9,2,13,68.3
STU10298,23,17.3,6,10,70.4
STU10299,15,15.9,2,12,66.8
STU10300,16,6.5,6,14,79.6
STU10301,11,13.0,3,3,100.0
STU10302,8,16.8,7,14,79.0
STU10303,12,11.1,4,5,76.2
