student_id,course_id,lms_logins_per_week,video_watch_hours,forum_posts,avg_quiz_score,attendance_rate,event_time
STU15800,DS201,12,18.1,9,60.6,49.0,2026-09-15 10:14:39
STU15678,AI301,14,19.2,1,71.4,55.1,2026-09-15 10:14:40
STU15993,DB401,13,17.2,3,76.5,55.2,2026-09-15 10:34:03
STU15221,DS201,13,7.7,5,92.6,46.2,2026-09-15 10:34:04
STU15347,DB401,11,21.6,7,67.0,49.4,2026-09-15 10:34:05
STU15328,DS201,13,13.1,5,63.0,80.8,2026-09-15 10:34:06
STU15808,AI301,13,9.8,3,43.2,88.7,2026-09-15 10:34:07
STU15729,DB401,13,11.5,4,85.1,72.3,2026-09-18 09:40:58
STU15119,SE501,13,23.0,7,49.6,74.5,2026-09-18 09:41:00
STU15218,AI301,14,7.9,1,72.3,64.5,2026-09-18 09:41:01
STU15840,SE501,10,10.8,1,53.4,91.5,2026-09-18 09:41:02
STU15315,AI301,6,10.9,3,91.7,53.7,2026-09-18 09:41:03
STU15343,DS201,15,10.9,4,41.3,63.5,2026-09-18 09:41:12
STU15174,DS201,13,20.5,1,75.2,76.4,2026-09-18 09:41:13
STU15412,DB401,10,10.4,3,80.5,54.2,2026-09-18 09:41:14
STU15629,DB401,11,9.9,3,78.6,85.8,2026-09-18 09:41:15
STU15590,AI301,14,13.7,4,90.7,72.2,2026-09-18 09:41:16
