student_id,age,gender,socio_economic_tier,distance_from_campus_km,internet_access,parent_education
STU10000,20,Male,Medium,15.6,High-Speed,Bachelors
STU10001,25,Female,High,0.2,High-Speed,High School
STU10002,24,Female,Low,2.0,Limited,High School
STU10003,25,Female,Low,10.1,High-Speed,Masters
STU10004,25,Male,Medium,4.5,Moderate,High School
STU10005,20,Male,High,38.4,Moderate,Bachelors
STU10006,23,Male,Medium,10.4,High-Speed,Bachelors
STU10007,21,Female,Medium,29.8,Moderate,Bachelors
STU10008,20,Female,Medium,2.1,High-Speed,High School
STU10009,22,Female,High,19.0,Moderate,High School
STU10010,20,Male,High,3.7,High-Speed,Bachelors
STU10011,22,Female,High,43.3,High-Speed,High School
STU10012,25,Female,Low,1.6,High-Speed,Doctorate
STU10013,24,Male,Low,6.9,High-Speed,Masters
STU10014,20,Male,Medium,15.0,Moderate,Bachelors
STU10015,22,Male,High,5.4,Limited,Masters
STU10016,20,Male,Low,6.0,Moderate,High School
STU10017,24,Female,Low,40.8,High-Speed,Bachelors
STU10018,25,Male,Medium,5.3,Limited,High School
STU10019,20,Male,Low,8.8,High-Speed,Bachelors
STU10020,19,Female,Medium,0.5,High-Speed,Bachelors
STU10021,22,Male,Medium,17.5,High-Speed,High School
STU10022,24,Male,Medium,9.9,High-Speed,High School
STU10023,22,Male,Medium,4.9,Moderate,Bachelors
STU10024,22,Male,Medium,0.2,High-Speed,Bachelors
STU10025,18,Female,Medium,8.5,High-Speed,High School
STU10026,24,Male,Medium,0.1,Moderate,Bachelors
STU10027,20,Female,Medium,0.0,Limited,Bachelors
STU10028,22,Female,Medium,9.1,Moderate,Bachelors
STU10029,23,Male,Low,2.0,High-Speed,Bachelors
STU10030,18,Female,Low,2.0,Moderate,High School
STU10031,19,Male,Low,10.1,High-Speed,Bachelors
STU10032,22,Male,Low,0.5,High-Speed,Masters
STU10033,25,Female,Medium,3.6,Limited,Bachelors
STU10034,22,Female,High,1.5,Limited,Bachelors
STU10035,18,Female,Medium,8.2,Moderate,Bachelors
STU10036,20,Male,Medium,10.3,High-Speed,High School
STU10037,23,Male,Medium,12.1,Moderate,Bachelors
STU10038,25,Female,Medium,2.8,Limited,Masters
STU10039,19,Male,Medium,0.9,High-Speed,High School
STU10040,25,Male,Low,0.8,High-Speed,Masters
STU10041,22,Female,Low,5.3,Moderate,High School
STU10042,20,Male,Medium,27.7,High-Speed,Bachelors
STU10043,24,Female,High,2.3,Limited,Masters
STU10044,23,Male,Low,2.8,High-Speed,Masters
STU10045,24,Female,Low,1.0,Moderate,Masters
STU10046,23,Male,Medium,8.8,Moderate,Masters
STU10047,19,Female,Low,10.8,High-Speed,Bachelors
STU10048,21,Female,High,9.8,Moderate,Bachelors
STU10049,23,Male,Medium,18.8,High-Speed,High School
STU10050,21,Female,High,6.3,High-Speed,High School
STU10051,24,Female,Medium,1.4,High-Speed,Bachelors
STU10052,23,Female,Medium,3.2,High-Speed,Bachelors
STU10053,19,Female,Medium,10.3,Moderate,Bachelors
STU10054,18,Female,Medium,9.0,Limited,Masters
STU10055,19,Female,Medium,7.2,High-Speed,Bachelors
STU10056,19,Male,Low,10.9,High-Speed,High School
STU10057,18,Male,Medium,9.6,High-Speed,Bachelors
STU10058,18,Male,Medium,20.2,Moderate,Bachelors
STU10059,20,Male,High,8.4,Limited,Bachelors
STU10060,23,Male,Medium,14.3,Moderate,Masters
STU10061,24,Male,Medium,2.7,Moderate,Bachelors
STU10062,20,Female,Low,10.8,High-Speed,Masters
STU10063,18,Male,Medium,22.1,High-Speed,Bachelors
STU10064,21,Male,Medium,4.6,Moderate,Bachelors
STU10065,24,Female,High,14.3,Moderate,Bachelors
STU10066,21,Male,High,12.3,Moderate,High School
STU10067,19,Female,Low,0.6,Moderate,High School
STU10068,22,Male,High,8.3,Moderate,High School
STU10069,19,Other,Low,1.3,Moderate,Bachelors
STU10070,19,Female,Medium,32.5,Limited,High School
STU10071,22,Male,Medium,15.8,Limited,Doctorate
STU10072,23,Male,Low,1.1,High-Speed,Bachelors
STU10073,18,Female,Medium,1.2,High-Speed,Bachelors
STU10074,21,Female,Low,8.6,High-Speed,High School
STU10075,19,Female,Low,4.0,Moderate,High School
STU10076,22,Female,Medium,0.3,High-Speed,High School
STU10077,20,Male,Medium,7.4,High-Speed,Bachelors
STU10078,19,Male,High,4.7,High-Speed,Bachelors
STU10079,21,Male,Medium,1.0,Moderate,Bachelors
STU10080,18,Female,Medium,15.4,High-Speed,Bachelors
STU10081,19,Female,Medium,23.4,High-Speed,Bachelors
STU10082,19,Male,Low,13.4,High-Speed,High School
STU10083,23,Male,Low,16.4,Moderate,Bachelors
STU10084,25,Male,Medium,2.3,High-Speed,Bachelors
STU10085,22,Male,Medium,2.9,High-Speed,Bachelors
STU10086,20,Female,Medium,2.2,Moderate,High School
STU10087,20,Female,Medium,13.8,High-Speed,Bachelors
STU10088,24,Female,Medium,28.1,High-Speed,High School
STU10089,18,Male,Low,12.0,Moderate,Doctorate
STU10090,24,Male,Low,20.3,High-Speed,Bachelors
STU10091,21,Female,High,9.7,Moderate,Doctorate
STU10092,18,Female,Medium,4.7,High-Speed,Bachelors
STU10093,19,Female,High,5.3,High-Speed,High School
STU10094,25,Female,Low,0.7,Moderate,Bachelors
STU10095,19,Female,High,0.3,Moderate,High School
STU10096,20,Female,Low,11.3,High-Speed,Masters
STU10097,21,Male,Low,5.5,High-Speed,Masters
STU10098,22,Male,High,7.6,Moderate,Bachelors
STU10099,21,Male,Low,7.7,Moderate,Bachelors
STU10100,19,Male,Medium,3.1,High-Speed,Bachelors
STU10101,22,Female,Low,6.1,Moderate,Doctorate
STU10102,21,Male,Medium,6.0,High-Speed,High School
STU10103,25,Female,High,4.7,High-Speed,Bachelors
